enc_id,evo_id_enc,evo_index_enc,trainer_name_enc,location_enc,pokemon_enc,level_enc,stage_enc,hp_enc,attack_enc,defense_enc,sp_attack_enc,sp_defense_enc,speed_enc,types_enc,move_name_1_enc,move_name_2_enc,move_name_3_enc,move_name_4_enc,move_type_1_enc,move_type_2_enc,move_type_3_enc,move_type_4_enc,move_category_1_enc,move_category_2_enc,move_category_3_enc,move_category_4_enc,move_power_1_enc,move_power_2_enc,move_power_3_enc,move_power_4_enc,move_accuracy_1_enc,move_accuracy_2_enc,move_accuracy_3_enc,move_accuracy_4_enc,move_crit_1_enc,move_crit_2_enc,move_crit_3_enc,move_crit_4_enc,exp_enc
1,139,1,littleroot_rival,littleroot_city,treecko,5,1,19,8,8,11,11,12,grass,pound,leer,,,normal,normal,,,physical,physical,,,40.0,0.0,,,1.0,1.0,,,False,False,False,False,135
2,140,1,littleroot_rival,littleroot_city,torchic,5,1,19,9,9,12,10,9,fire,scratch,growl,,,normal,normal,,,physical,physical,,,40.0,0.0,,,1.0,1.0,,,False,False,False,False,135
3,141,1,littleroot_rival,littleroot_city,mudkip,5,1,20,10,11,10,10,9,water,tackle,growl,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,135
4,152,1,lass_tiana,route_102,shroomish,4,3,18,8,9,8,9,6,grass,absorb,tackle,,,grass,normal,,,special,physical,,,20.0,35.0,,,1.0,0.95,,,False,False,False,False,135
5,148,1,youngster_allen,route_102,taillow,3,3,15,8,6,6,6,9,flying/normal,peck,growl,,,flying,normal,,,physical,physical,,,35.0,0.0,,,1.0,1.0,,,False,False,False,False,135
6,145,1,bug_catcher_rick,route_102,wurmple,4,3,17,8,7,6,7,6,bug,tackle,string_shot,,,normal,bug,,,physical,physical,,,35.0,0.0,,,0.95,0.95,,,False,False,False,False,135
10,143,1,youngster_allen,route_102,zigzagoon,4,3,17,7,8,7,7,9,normal,tackle,growl,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,135
12,142,1,gatekeeper_calvin,route_102,poochyena,5,3,18,11,8,8,8,7,dark,tackle,howl,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,135
13,143,1,youngster_billy,route_104_south,zigzagoon,5,5,18,7,9,8,9,11,normal,tackle,growl,tail_whip,,normal,normal,normal,,physical,physical,physical,,35.0,0.0,0.0,,0.95,1.0,1.0,,False,False,False,False,135
14,147,1,youngster_billy,route_104_south,seedot,7,5,22,10,13,9,8,9,grass,bide,harden,growth,,normal,normal,normal,,physical,physical,physical,,0.0,0.0,0.0,,1.0,1.0,1.0,,False,False,False,False,236
15,65,1,fisherman_darian,route_104_south,magikarp,9,5,22,6,14,6,8,19,water,splash,,,,normal,,,,physical,,,,0.0,,,,1.0,,,,False,False,False,False,911
16,145,1,bug_catcher_lyle,petalburg_woods,wurmple,3,6,15,7,7,6,5,6,bug,tackle,string_shot,,,normal,bug,,,physical,physical,,,35.0,0.0,,,0.95,0.95,,,False,False,False,False,911
24,155,1,bug_catcher_james,petalburg_woods,nincada,6,6,19,10,15,8,8,8,bug/ground,scratch,harden,leech_life,,normal,normal,bug,,physical,physical,physical,,40.0,0.0,20.0,,1.0,1.0,1.0,,False,False,False,False,911
28,142,1,team_aqua_grunt,petalburg_woods,poochyena,9,6,25,15,11,10,10,9,dark,tackle,howl,sandattack,,normal,normal,ground,,physical,physical,physical,,35.0,0.0,0.0,,0.95,1.0,1.0,,False,False,False,False,911
29,152,1,lass_haley,route_104_north,shroomish,6,7,23,9,12,9,13,8,grass,absorb,tackle,,,grass,normal,,,special,physical,,,20.0,35.0,,,1.0,0.95,,,False,False,False,False,911
30,65,1,fisherman_ivan,route_104_north,magikarp,5,7,17,5,10,6,7,14,water,splash,,,,normal,,,,physical,,,,0.0,,,,1.0,,,,False,False,False,False,911
31,147,1,twins_gina_mia,route_104_north,seedot,6,7,20,9,11,7,8,8,grass,bide,harden,,,normal,normal,,,physical,physical,,,0.0,0.0,,,1.0,1.0,,,False,False,False,False,911
32,146,1,twins_gina_mia,route_104_north,lotad,6,7,20,8,7,9,11,8,grass/water,astonish,growl,,,ghost,normal,,,physical,physical,,,30.0,0.0,,,1.0,1.0,,,False,False,False,False,911
34,65,1,fisherman_ivan,route_104_north,magikarp,6,7,18,6,12,6,6,14,water,splash,,,,normal,,,,physical,,,,0.0,,,,1.0,,,,False,False,False,False,911
35,143,1,rich_boy_winston,route_104_north,zigzagoon,7,7,22,9,9,9,11,13,normal,tackle,growl,tail_whip,,normal,normal,normal,,physical,physical,physical,,35.0,0.0,0.0,,0.95,1.0,1.0,,False,False,False,False,911
36,65,1,fisherman_ivan,route_104_north,magikarp,7,7,19,6,13,6,7,16,water,splash,,,,normal,,,,physical,,,,0.0,,,,1.0,,,,False,False,False,False,911
37,139,1,rustboro_rival,rustboro_city,treecko,15,8,37,17,17,25,22,26,grass,pound,leer,absorb,quick_attack,normal,normal,grass,normal,physical,physical,special,physical,40.0,0.0,20.0,40.0,1.0,1.0,1.0,1.0,False,False,False,False,2035
38,140,1,rustboro_rival,rustboro_city,torchic,15,8,38,20,18,26,20,18,fire,scratch,growl,focus_energy,ember,normal,normal,normal,fire,physical,physical,physical,special,40.0,0.0,0.0,40.0,1.0,1.0,1.0,1.0,False,False,False,False,2035
39,141,1,rustboro_rival,rustboro_city,mudkip,15,8,38,20,18,26,20,18,water,tackle,bide,mudslap,water_gun,normal,normal,ground,water,physical,physical,physical,special,35.0,0.0,20.0,40.0,0.95,1.0,1.0,1.0,False,False,False,False,2035
40,149,1,rustboro_rival,rustboro_city,wingull,13,8,33,13,11,19,14,27,flying/water,growl,water_gun,supersonic,wing_attack,normal,water,normal,flying,physical,special,physical,physical,0.0,40.0,0.0,60.0,1.0,1.0,0.55,1.0,False,False,False,False,2197
41,31,1,youngster_tommy,rustboro_gym,geodude,8,9,25,16,22,10,10,9,ground/rock,tackle,defense_curl,mud_sport,,normal,normal,ground,,physical,physical,physical,,35.0,0.0,0.0,,0.95,1.0,1.0,,False,False,False,False,2197
45,31,1,youngster_josh,rustboro_gym,geodude,10,9,29,19,26,13,12,10,ground/rock,tackle,,,,normal,,,,physical,,,,35.0,,,,0.95,,,,False,False,False,False,2197
46,31,1,leader_roxanne,rustboro_gym,geodude,12,9,33,25,30,13,13,11,ground/rock,tackle,rock_throw,rock_tomb,defense_curl,normal,rock,rock,normal,physical,physical,physical,physical,35.0,50.0,50.0,0.0,0.95,0.9,0.8,1.0,False,False,False,False,2197
48,158,1,leader_roxanne,rustboro_gym,nosepass,15,9,37,24,44,22,35,17,rock,tackle,rock_tomb,harden,block,normal,rock,normal,normal,physical,physical,physical,physical,35.0,50.0,0.0,0.0,0.95,0.8,1.0,1.0,False,False,False,False,3375
49,152,1,youngster_johnson,route_116,shroomish,8,10,27,11,14,11,14,10,grass,absorb,tackle,stun_spore,,grass,normal,grass,,special,physical,special,,20.0,35.0,0.0,,1.0,0.95,0.75,,False,False,False,False,3375
50,31,1,hiker_clark,route_116,geodude,8,10,24,17,21,9,8,8,ground/rock,tackle,defense_curl,mud_sport,,normal,normal,ground,,physical,physical,physical,,35.0,0.0,0.0,,0.95,1.0,1.0,,False,False,False,False,3375
51,146,1,youngster_johnson,route_116,lotad,8,10,24,8,9,11,13,9,grass/water,astonish,growl,absorb,,ghost,normal,grass,,physical,physical,special,,30.0,0.0,20.0,,1.0,1.0,1.0,,False,False,False,False,3375
55,152,1,school_kid_karen,route_116,shroomish,9,10,29,12,16,12,15,9,grass,absorb,tackle,stun_spore,,grass,normal,grass,,special,physical,special,,20.0,35.0,0.0,,1.0,0.95,0.75,,False,False,False,False,3375
56,28,1,youngster_joey,route_116,machop,9,10,31,19,14,11,11,11,fighting,low_kick,leer,focus_energy,,fighting,normal,normal,,physical,physical,physical,,0.0,0.0,0.0,,1.0,1.0,1.0,,False,False,False,False,3375
57,145,1,bug_catcher_jose,route_116,wurmple,8,10,25,13,11,8,9,8,bug,tackle,string_shot,,,normal,bug,,,physical,physical,,,35.0,0.0,,,0.95,0.95,,,False,False,False,False,3375
59,143,1,lady_sarah,route_116,zigzagoon,8,10,24,9,11,9,11,14,normal,tackle,growl,tail_whip,,normal,normal,normal,,physical,physical,physical,,35.0,0.0,0.0,,0.95,1.0,1.0,,False,False,False,False,3375
61,142,1,rich_boy_dawson,route_116,poochyena,8,10,23,11,10,9,9,11,dark,tackle,howl,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,3375
62,94,2,lass_janice,route_116,marill,9,10,31,8,14,8,12,12,water,tackle,defense_curl,tail_whip,,normal,normal,normal,,physical,physical,physical,,35.0,0.0,0.0,,0.95,1.0,1.0,,False,False,False,False,3375
63,150,1,school_kid_jerry,route_116,ralts,9,10,24,9,9,13,12,10,fairy/psychic,growl,confusion,,,normal,psychic,,,physical,special,,,0.0,50.0,,,1.0,1.0,,,False,False,False,False,3375
64,155,1,bug_catcher_jose,route_116,nincada,8,10,23,12,19,10,10,11,bug/ground,scratch,harden,leech_life,,normal,normal,bug,,physical,physical,physical,,40.0,0.0,20.0,,1.0,1.0,1.0,,False,False,False,False,3375
66,142,1,team_aqua_grunt,rusturf_tunnel_first,poochyena,11,11,28,18,12,11,11,10,dark,tackle,howl,sandattack,,normal,normal,ground,,physical,physical,physical,,35.0,0.0,0.0,,0.95,1.0,1.0,,False,False,False,False,3375
67,157,1,black_belt_cristian,dewford_gym,makuhita,13,16,44,25,15,13,13,14,fighting,focus_energy,sandattack,arm_thrust,vital_throw,normal,ground,fighting,fighting,physical,physical,physical,physical,0.0,0.0,45.0,70.0,1.0,1.0,1.0,1.0,False,False,False,False,3375
68,28,1,sailor_brenden,dewford_gym,machop,13,16,42,29,19,15,15,13,fighting,low_kick,leer,focus_energy,karate_chop,fighting,normal,normal,fighting,physical,physical,physical,physical,0.0,0.0,0.0,55.0,1.0,1.0,1.0,1.0,False,False,False,True,3375
70,162,1,battle_girl_laura,dewford_gym,meditite,13,16,33,17,21,17,21,22,fighting/psychic,bide,meditate,confusion,detect,normal,psychic,psychic,fighting,physical,special,special,physical,0.0,0.0,50.0,0.0,1.0,1.0,1.0,1.0,False,False,False,False,3375
73,28,1,leader_brawly,dewford_gym,machop,16,16,50,32,22,18,18,18,fighting,karate_chop,low_kick,seismic_toss,bulk_up,fighting,fighting,fighting,fighting,physical,physical,physical,physical,55.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,False,False,False,3375
74,162,1,leader_brawly,dewford_gym,meditite,16,16,37,17,24,19,26,26,fighting/psychic,focus_punch,light_screen,reflect,bulk_up,fighting,psychic,psychic,fighting,physical,special,special,physical,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,False,4096
75,157,1,leader_brawly,dewford_gym,makuhita,19,16,60,32,22,17,18,19,fighting,arm_thrust,vital_throw,reversal,bulk_up,fighting,fighting,fighting,fighting,physical,physical,physical,physical,45.0,70.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,False,4526
76,28,1,sailor_dwayne,route_109,machop,11,17,36,22,16,12,12,12,fighting,low_kick,leer,focus_energy,,fighting,normal,normal,,physical,physical,physical,,0.0,0.0,0.0,,1.0,1.0,1.0,,False,False,False,False,4526
77,28,1,sailor_huey,route_109,machop,12,17,38,26,17,13,11,13,fighting,low_kick,leer,focus_energy,,fighting,normal,normal,,physical,physical,physical,,0.0,0.0,0.0,,1.0,1.0,1.0,,False,False,False,False,4526
78,149,1,sailor_dwayne,route_109,wingull,11,17,29,11,11,17,9,25,flying/water,growl,water_gun,supersonic,,normal,water,normal,,physical,special,physical,,0.0,40.0,0.0,,1.0,1.0,0.55,,False,False,False,False,4526
79,94,1,tuber_lola,route_109,azurill,12,17,34,8,15,9,14,9,normal,splash,charm,tail_whip,bubble,normal,normal,normal,water,physical,physical,physical,special,0.0,0.0,0.0,20.0,1.0,1.0,1.0,1.0,False,False,False,False,4526
82,94,2,tuber_simon,route_109,marill,12,17,38,9,17,8,17,14,water,tackle,defense_curl,tail_whip,water_gun,normal,normal,normal,water,physical,physical,physical,special,35.0,0.0,0.0,40.0,0.95,1.0,1.0,1.0,False,False,False,False,4526
83,30,1,sailor_dwayne,route_109,tentacool,11,17,29,14,10,16,27,20,poison/water,poison_sting,supersonic,,,poison,normal,,,physical,physical,,,15.0,0.0,,,1.0,0.55,,,False,False,False,False,4526
84,149,1,sailor_huey,route_109,wingull,12,17,31,13,12,10,18,25,flying/water,growl,water_gun,supersonic,,normal,water,normal,,physical,special,physical,,0.0,40.0,0.0,,1.0,1.0,0.55,,False,False,False,False,4526
