evo_id_pp,evo_index_pp,pokemon_pp,hp_pp_base,attack_pp_base,defense_pp_base,sp_attack_pp_base,sp_defense_pp_base,speed_pp_base,type_1_pp,type_2_pp,evo_lvl_pp,evo_item_stage_pp,stage_available_pp,legendary_pp,generation
4,1,caterpie,45,30,35,20,20,45,bug,,0,0.0,4.0,False,2
4,2,metapod,50,20,55,25,25,30,bug,,7,0.0,4.0,False,2
4,3,butterfree,60,45,50,80,80,70,bug,flying,10,0.0,4.0,False,2
5,1,weedle,40,35,30,20,20,50,bug,poison,0,0.0,4.0,False,2
5,2,kakuna,45,25,50,25,25,35,bug,poison,7,0.0,4.0,False,2
5,3,beedrill,65,80,40,45,80,75,bug,poison,10,0.0,4.0,False,2
6,1,pidgey,40,45,40,35,35,56,flying,normal,0,0.0,2.0,False,2
6,2,pidgeotto,63,60,55,50,50,71,flying,normal,18,0.0,2.0,False,2
6,3,pidgeot,83,80,75,70,70,91,flying,normal,36,0.0,2.0,False,2
7,1,rattata,30,56,35,25,35,72,normal,,0,0.0,2.0,False,2
7,2,raticate,55,81,60,50,70,97,normal,,20,0.0,2.0,False,2
8,1,spearow,40,60,30,31,31,70,flying,normal,0,0.0,9.0,False,2
8,2,fearow,65,90,65,61,61,100,flying,normal,20,0.0,9.0,False,2
9,1,ekans,35,60,44,40,54,55,poison,,0,0.0,7.0,False,2
9,2,arbok,60,85,69,65,79,80,poison,,22,0.0,7.0,False,2
10,1,pichu,20,40,15,35,35,60,electric,,0,0.0,12.0,False,2
10,2,pikachu,35,55,30,50,40,90,electric,,0,0.0,12.0,False,2
10,3,raichu,60,90,55,90,80,100,electric,,0,19.0,12.0,False,2
11,1,sandshrew,50,75,85,20,30,40,ground,,0,0.0,8.0,False,2
11,2,sandslash,75,100,110,45,55,65,ground,,22,0.0,8.0,False,2
12,1,nidoran_f,55,47,52,40,40,41,poison,,0,0.0,15.0,False,2
12,2,nidorina,70,62,67,55,55,56,poison,,16,0.0,15.0,False,2
12,3,nidoqueen,90,82,87,75,85,76,ground,poison,16,14.0,15.0,False,2
13,1,nidoran_m,46,57,40,40,40,50,poison,,0,0.0,15.0,False,2
13,2,nidorino,61,72,57,55,55,65,poison,,16,0.0,15.0,False,2
13,3,nidoking,81,92,77,85,75,85,ground,poison,16,14.0,15.0,False,2
14,1,clefairy,70,45,48,60,65,35,normal,,0,0.0,12.0,False,2
14,2,cleffa,50,25,28,45,55,15,normal,,0,0.0,12.0,False,2
14,3,clefable,95,70,73,85,90,60,normal,,0,14.0,12.0,False,2
15,2,ninetales,73,76,75,81,100,100,fire,,0,16.0,999.0,False,2
16,1,igglybuff,90,30,15,40,20,15,normal,,0,0.0,12.0,False,2
16,2,jigglypuff,115,45,20,45,25,20,normal,,0,0.0,12.0,False,2
16,3,wigglytuff,140,70,45,75,50,45,normal,,0,14.0,12.0,False,2
17,1,zubat,40,45,35,30,40,55,flying,poison,0,0.0,4.0,False,2
17,2,crobat,85,90,80,70,80,130,flying,poison,22,0.0,4.0,False,2
17,3,golbat,75,80,70,65,75,90,flying,poison,22,0.0,4.0,False,2
18,1,oddish,45,50,55,75,65,30,grass,poison,0,0.0,11.0,False,2
18,2,gloom,60,65,70,85,75,40,grass,poison,21,0.0,11.0,False,2
18,3,vileplume,75,80,85,100,90,50,grass,poison,21,12.0,11.0,False,2
19,1,paras,35,70,55,45,55,25,bug,grass,0,0.0,11.0,False,2
19,2,parasect,60,95,80,60,80,30,bug,grass,24,0.0,11.0,False,2
20,1,venonat,60,55,50,40,55,45,bug,poison,0,0.0,11.0,False,2
20,2,venomoth,70,65,60,90,75,90,bug,poison,31,0.0,11.0,False,2
21,1,diglett,10,55,25,35,45,95,ground,,0,0.0,76.0,False,2
21,2,dugtrio,35,80,50,50,70,120,ground,,26,0.0,76.0,False,2
22,1,meowth,40,45,35,40,40,90,normal,,0,0.0,19.0,False,2
22,2,persian,65,70,60,65,65,115,normal,,28,0.0,19.0,False,2
23,1,psyduck,50,52,48,65,50,55,water,,0,0.0,11.0,False,2
23,2,golduck,80,82,78,95,80,85,water,,33,0.0,11.0,False,2
25,1,growlithe,55,70,45,70,50,60,fire,,0,0.0,14.0,False,2
25,2,arcanine,90,110,80,100,80,95,fire,,0,16.0,14.0,False,2
26,1,poliwag,40,50,40,40,40,90,water,,0,0.0,4.0,False,2
26,2,poliwhirl,65,65,65,50,50,90,water,,25,0.0,4.0,False,2
26,3,poliwrath,90,85,95,70,90,70,fighting,water,25,26.0,4.0,False,2
27,1,abra,25,20,15,105,55,90,psychic,,0,0.0,12.0,False,2
27,2,kadabra,40,35,30,120,70,105,psychic,,16,0.0,12.0,False,2
27,3,alakazam,55,50,45,135,85,120,psychic,,16,0.0,12.0,False,2
28,1,machop,70,80,50,35,35,35,fighting,,0,0.0,13.0,False,2
28,2,machoke,80,100,70,50,60,45,fighting,,28,0.0,13.0,False,2
28,3,machamp,90,130,80,65,85,55,fighting,,28,0.0,13.0,False,2
29,1,bellsprout,50,75,35,70,30,40,grass,poison,0,0.0,5.0,False,2
29,2,weepinbell,65,90,50,85,45,55,grass,poison,21,0.0,5.0,False,2
29,3,victreebel,80,105,65,100,60,70,grass,poison,21,12.0,5.0,False,2
30,1,tentacool,40,40,35,50,100,70,poison,water,0,0.0,7.0,False,2
30,2,tentacruel,80,70,65,80,120,100,poison,water,30,0.0,7.0,False,2
31,1,geodude,40,80,100,30,30,20,ground,rock,0,0.0,5.0,False,2
31,2,graveler,55,95,115,45,45,35,ground,rock,25,0.0,5.0,False,2
31,3,golem,80,110,130,55,65,45,ground,rock,25,0.0,5.0,False,2
32,1,ponyta,50,85,55,65,65,90,fire,,0,0.0,44.0,False,2
32,2,rapidash,65,100,70,80,80,105,fire,,40,0.0,44.0,False,2
33,1,slowpoke,90,65,65,40,40,15,psychic,water,0,0.0,10.0,False,2
33,2,slowbro,95,75,110,100,80,30,psychic,water,37,0.0,10.0,False,2
34,1,magnemite,25,35,70,95,55,45,electric,,0,0.0,19.0,False,2
