location,location_stage,key_items,tms,evo_items,badge_boost
pallet_town,1,,,,
route_1,2,,,,
viridian_city,3,,,,
route_22,4,,,,
route_2,4,,,,
viridian_forest,5,,,,
pewter_city,6,,,,
pewter_gym,6,,,,attack
route_3,7,,,,
mt_moon,8,,water gun,moonstone,
route_4,9,,,,
cerulean_city,10,,dig,,
cerulean_gym,11,,bubble beam,,
route_24,11,,,,
route_25,12,,,,
route_5,11,,,,
route_6,12,,,,
vermilion_city,13,old_rod,,,
ss_anne,14,cut,"body slam,cut",,
digletts_cave,14,,,,
route_2_revisit,15,,,,
route_11,14,,,,
vermilion_gym,15,,thunderbolt,,defense
route_9,16,,,,
route_10,17,,,,
rock_tunnel,18,,,,
lavender_town,19,,,,
pokemon_tower,20,,,,
route_8,21,,,,
route_7,22,,,,
celadon_city,23,,"hyper beam,mega kick,egg bomb,ice beam,tri attack,mega punch,rock slide,mega drain","firestone,waterstone,thunderstone,leafstone",
game_corner,23,,,,
rocket_hideout,23,,,,
celadon_gym,23,,,,
saffron_city,24,,psychic,,
dojo,24,,,,
silph_co,24,silphscope,earthquake,,
saffron_gym,24,,,,
pokemon_tower_top,25,pokeflute,,,
route_12,26,super_rod,"swift,pay day",,
route_13,26,,,,
route_14,26,,,,
route_15,26,,rage,,
route_16,26,,fly,,
route_17,26,,,,
route_18,26,,,,
fuchsia_city,26,good_rod,strength,,
safari_zone,26,strength,surf,,
route_4_surf,27,,,,
fuchsia_gym,28,surf,,,speed
power_plant,29,,thunder,,
route_19,30,,,,
route_20,31,,,,
seafoam_islands,32,,,,
route_21,32,,,,
cinnabar_island,33,,,,
pokemon_mansion,34,,blizzard,,
cinnabar_gym,34,,fire blast,,special
viridian_gym,35,,,,
route_23,36,,,,
victory_road,37,,,,
indigo_plateau,38,,,,
cerulean_cave,39,,,,
