evo_id,pokemon,hp,attack,defense,sp_attack,sp_defense,speed,types,evo_lvl,evo_item
1,Bulbasaur,45,49,49,65,65,45,Grass/Poison,0,
1,Ivysaur,60,62,63,80,80,60,Grass/Poison,16,
1,Venusaur,80,82,83,100,100,80,Grass/Poison,32,
2,Charmander,39,52,43,50,50,65,Fire,0,
2,Charmeleon,58,64,58,65,65,80,Fire,16,
2,Charizard,78,84,78,85,85,100,Fire/Flying,36,
3,Squirtle,44,48,65,50,50,43,Water,0,
3,Wartortle,59,63,80,65,65,58,Water,16,
3,Blastoise,79,83,100,85,85,78,Water,36,
4,Caterpie,45,30,35,20,20,45,Bug,0,
4,Metapod,50,20,55,25,25,30,Bug,7,
4,Butterfree,60,45,50,80,80,70,Bug/Flying,10,
5,Weedle,40,35,30,20,20,50,Bug/Poison,0,
5,Kakuna,45,25,50,25,25,35,Bug/Poison,7,
5,Beedrill,65,80,40,45,45,75,Bug/Poison,10,
6,Pidgey,40,45,40,35,35,56,Flying/Normal,0,
6,Pidgeotto,63,60,55,50,50,71,Flying/Normal,18,
6,Pidgeot,83,80,75,70,70,91,Flying/Normal,36,
7,Rattata,30,56,35,25,25,72,Normal,0,
7,Raticate,55,81,60,50,50,97,Normal,20,
8,Spearow,40,60,30,31,31,70,Flying/Normal,0,
8,Fearow,65,90,65,61,61,100,Flying/Normal,20,
9,Ekans,35,60,44,40,40,55,Poison,0,
9,Arbok,60,85,69,65,65,80,Poison,22,
10,Pikachu,35,55,30,50,50,90,Electric,0,
10,Raichu,60,90,55,90,90,100,Electric,0,thunderstone
11,Sandshrew,50,75,85,30,30,40,Ground,0,
11,Sandslash,75,100,110,55,55,65,Ground,22,
12,Nidoran_f,55,47,52,40,40,41,Poison,0,
12,Nidorina,70,62,67,55,55,56,Poison,16,
12,Nidoqueen,90,82,87,75,75,76,Ground/Poison,16,moonstone
13,Nidoran_m,46,57,40,40,40,50,Poison,0,
13,Nidorino,61,72,57,55,55,65,Poison,16,
13,Nidoking,81,92,77,75,75,85,Ground/Poison,16,moonstone
14,Clefairy,70,45,48,60,60,35,Normal,0,
