trainer_dvs_name,normalized_name
Lt. Surge,gym_leader_lt_surge
Falkner,gym_leader_falkner
Bugsy,gym_leader_bugsy
Whitney,gym_leader_whitney
Morty,gym_leader_morty
Chuck,gym_leader_chuck
Jasmine,gym_leader_jasmine
Pryce,gym_leader_pryce
Clair,gym_leader_clair
Will,elite_four_will
Bruno,elite_four_bruno
Karen,elite_four_karen
Koga,elite_four_koga
Lance,champion_lance
Brock,gym_leader_brock
Misty,gym_leader_misty
Erika,gym_leader_erika
Janine,gym_leader_janine
Sabrina,gym_leader_sabrina
Blaine,gym_leader_blaine
Blue,gym_leader_blue
Silver,rival_silver
Red,pokemon_trainer_red
EusineC,eusine
Cal,cal
Scientist,scientist
Youngster,youngster
Schoolboy,schoolboy
Bird Keeper,bird_keeper
Lass,lass
Cooltrainer,cooltrainer
Beauty,beauty
Pokémaniac,pokemaniac
Rocket Grunt,rocket_grunt
Rocket Executive,rocket_executive
Gentleman,gentleman
Skier,skier
Teacher,teacher
Bug Catcher,bug_catcher
Fisherman,fisherman
Swimmer,swimmer
Sailor,sailor
Super Nerd,super_nerd
Guitarist,guitarist
Hiker,hiker
Biker,biker
Burglar,burglar
Firebreather,firebreather
Juggler,juggler
Blackbelt,blackbelt
Psychic,psychic
Picnicker,picnicker
Camper,camper
Sage,sage
Medium,medium
Boarder,boarder
Pokéfan,pokefan
Kimono Girl,kimono_girl
Twins,twins
Officer,officer
