pokemon,location,level,method
Geodude,team_rocket_hq,21,
Voltorb,team_rocket_hq,23,
Electrode,team_rocket_hq,23,
Koffing,team_rocket_hq,23,
Gyarados,Lake of Rage,30,
Lapras,Union Cave,20,Surf
Snorlax,Vermilion City,50,EXPN Card
Sudowoodo,Route 36,20,Squirt Bottle
Raikou,Burned Tower,40,
Entei,Burned Tower,40,
Suicune,Tin Tower 1f,40,
Lugia,Whirl Islands,60,Silver Wing
Ho_Oh,Tin Tower,60,Rainbow Wing
Chikorita,New Bark Town,5,
Cyndaquil,New Bark Town,5,
Totodile,New Bark Town,5,
Togepi,Route 32,5,
Pichu,Route 34,5,
Cleffa,Route 34,5,
Igglybuff,Route 34,5,
Tyrogue,Route 34,5,
Smoochum,Route 34,5,
Elekid,Route 34,5,
Magby,Route 34,5,
Spearow,Route 35,10,
Eevee,Goldenrod City,20,
Shuckle,Cianwood City,15,
Dratini,Dragons Den,15,
