pokemon,move_level,move_name,move_type,power,accuracy,crit,move_stage
Bulbasaur,1.0,Tackle,Normal,35.0,0.95,False,
Bulbasaur,10.0,Vine Whip,Grass,35.0,1.0,False,
Bulbasaur,20.0,Razor Leaf,Grass,55.0,0.95,True,
Bulbasaur,,Cut,Normal,50.0,0.95,False,6.0
Bulbasaur,,Strength,Normal,80.0,1.0,False,35.0
Bulbasaur,,Rock Smash,Fighting,20.0,1.0,False,21.0
Bulbasaur,,Bullet Seed,Grass,30.0,1.0,False,3.0
Bulbasaur,,Hidden Power,Normal,60.0,1.0,False,16.0
Bulbasaur,,Giga Drain,Grass,60.0,1.0,False,64.0
Bulbasaur,,Return,Normal,102.0,1.0,False,31.0
Bulbasaur,,Sludge Bomb,Poison,90.0,1.0,False,12.0
Bulbasaur,,Facade,Normal,70.0,1.0,False,45.0
Bulbasaur,,Secret Power,Normal,70.0,1.0,False,16.0
Ivysaur,1.0,Tackle,Normal,35.0,0.95,False,
Ivysaur,10.0,Vine Whip,Grass,35.0,1.0,False,
Ivysaur,22.0,Razor Leaf,Grass,55.0,0.95,True,
Ivysaur,,Cut,Normal,50.0,0.95,False,6.0
Ivysaur,,Strength,Normal,80.0,1.0,False,35.0
Ivysaur,,Rock Smash,Fighting,20.0,1.0,False,21.0
Ivysaur,,Bullet Seed,Grass,30.0,1.0,False,3.0
Ivysaur,,Hidden Power,Normal,60.0,1.0,False,16.0
Ivysaur,,Giga Drain,Grass,60.0,1.0,False,64.0
Ivysaur,,Return,Normal,102.0,1.0,False,31.0
Ivysaur,,Sludge Bomb,Poison,90.0,1.0,False,12.0
Ivysaur,,Facade,Normal,70.0,1.0,False,45.0
Ivysaur,,Secret Power,Normal,70.0,1.0,False,16.0
Venusaur,1.0,Tackle,Normal,35.0,0.95,False,
Venusaur,1.0,Vine Whip,Grass,35.0,1.0,False,
Venusaur,22.0,Razor Leaf,Grass,55.0,0.95,True,
Venusaur,,Cut,Normal,50.0,0.95,False,6.0
Venusaur,,Strength,Normal,80.0,1.0,False,35.0
Venusaur,,Rock Smash,Fighting,20.0,1.0,False,21.0
Venusaur,,Bullet Seed,Grass,30.0,1.0,False,3.0
Venusaur,,Hidden Power,Normal,60.0,1.0,False,16.0
Venusaur,,Hyper Beam,Normal,75.0,0.9,False,66.0
Venusaur,,Giga Drain,Grass,60.0,1.0,False,64.0
Venusaur,,Earthquake,Ground,100.0,1.0,False,77.0
Venusaur,,Return,Normal,102.0,1.0,False,31.0
Venusaur,,Sludge Bomb,Poison,90.0,1.0,False,12.0
Venusaur,,Facade,Normal,70.0,1.0,False,45.0
Venusaur,,Secret Power,Normal,70.0,1.0,False,16.0
Charmander,1.0,Scratch,Normal,40.0,1.0,False,
Charmander,7.0,Ember,Fire,40.0,1.0,False,
Charmander,19.0,Rage,Normal,20.0,1.0,False,
Charmander,31.0,Flamethrower,Fire,95.0,1.0,False,22.0
Charmander,37.0,Slash,Normal,70.0,1.0,True,
Charmander,49.0,Fire Spin,Fire,15.0,0.7,False,
Charmander,,Cut,Normal,50.0,0.95,False,6.0
Charmander,,Strength,Normal,80.0,1.0,False,35.0
Charmander,,Rock Smash,Fighting,20.0,1.0,False,21.0
Charmander,,Dragon Claw,Dragon,80.0,1.0,False,86.0
Charmander,,Hidden Power,Normal,60.0,1.0,False,16.0
Charmander,,Iron Tail,Steel,100.0,0.75,False,86.0
Charmander,,Return,Normal,102.0,1.0,False,31.0
Charmander,,Dig,Ground,60.0,1.0,False,32.0
Charmander,,Brick Break,Fighting,75.0,1.0,False,84.0
Charmander,,Fire Blast,Fire,120.0,0.85,False,66.0
Charmander,,Aerial Ace,Flying,60.0,1.0,False,59.0
Charmander,,Facade,Normal,70.0,1.0,False,45.0
Charmander,,Secret Power,Normal,70.0,1.0,False,16.0
Charmander,,Overheat,Fire,0.0,0.9,False,43.0
Charmander,13.0,Metal Claw,Steel,50.0,0.95,False,
Charmeleon,1.0,Ember,Fire,40.0,1.0,False,
Charmeleon,1.0,Scratch,Normal,40.0,1.0,False,
Charmeleon,20.0,Rage,Normal,20.0,1.0,False,
Charmeleon,34.0,Flamethrower,Fire,95.0,1.0,False,22.0
Charmeleon,41.0,Slash,Normal,70.0,1.0,True,
Charmeleon,55.0,Fire Spin,Fire,15.0,0.7,False,
Charmeleon,,Cut,Normal,50.0,0.95,False,6.0
Charmeleon,,Strength,Normal,80.0,1.0,False,35.0
Charmeleon,,Rock Smash,Fighting,20.0,1.0,False,21.0
Charmeleon,,Dragon Claw,Dragon,80.0,1.0,False,86.0
Charmeleon,,Hidden Power,Normal,60.0,1.0,False,16.0
Charmeleon,,Iron Tail,Steel,100.0,0.75,False,86.0
Charmeleon,,Return,Normal,102.0,1.0,False,31.0
Charmeleon,,Dig,Ground,60.0,1.0,False,32.0
Charmeleon,,Brick Break,Fighting,75.0,1.0,False,84.0
Charmeleon,,Fire Blast,Fire,120.0,0.85,False,66.0
Charmeleon,,Aerial Ace,Flying,60.0,1.0,False,59.0
Charmeleon,,Facade,Normal,70.0,1.0,False,45.0
Charmeleon,,Secret Power,Normal,70.0,1.0,False,16.0
Charmeleon,,Overheat,Fire,0.0,0.9,False,43.0
Charmeleon,13.0,Metal Claw,Steel,50.0,0.95,False,
Charizard,1.0,Ember,Fire,40.0,1.0,False,
Charizard,1.0,Scratch,Normal,40.0,1.0,False,
Charizard,20.0,Rage,Normal,20.0,1.0,False,
Charizard,34.0,Flamethrower,Fire,95.0,1.0,False,22.0
Charizard,36.0,Wing Attack,Flying,60.0,1.0,False,
Charizard,44.0,Slash,Normal,70.0,1.0,True,
Charizard,64.0,Fire Spin,Fire,15.0,0.7,False,
Charizard,,Cut,Normal,50.0,0.95,False,6.0
Charizard,,Fly,Flying,70.0,0.95,False,55.0
Charizard,,Strength,Normal,80.0,1.0,False,35.0
Charizard,,Rock Smash,Fighting,20.0,1.0,False,21.0
Charizard,,Dragon Claw,Dragon,80.0,1.0,False,86.0
Charizard,,Hidden Power,Normal,60.0,1.0,False,16.0
Charizard,,Hyper Beam,Normal,75.0,0.9,False,66.0
Charizard,,Iron Tail,Steel,100.0,0.75,False,86.0
Charizard,,Earthquake,Ground,100.0,1.0,False,77.0
Charizard,,Return,Normal,102.0,1.0,False,31.0
Charizard,,Dig,Ground,60.0,1.0,False,32.0
Charizard,,Brick Break,Fighting,75.0,1.0,False,84.0
Charizard,,Fire Blast,Fire,120.0,0.85,False,66.0
Charizard,,Aerial Ace,Flying,60.0,1.0,False,59.0
Charizard,,Facade,Normal,70.0,1.0,False,45.0
Charizard,,Secret Power,Normal,70.0,1.0,False,16.0
Charizard,,Steel Wing,Steel,70.0,0.9,False,13.0
