location,location_stage,key_items,tms,evo_items,badge_boost,item_type_boost
Littleroot City,1,,,,,
Route 101,2,,,,,
Route 102,3,,,kings_rock,,
Petalburg City,4,,,,,
Route 104 South,5,,Bullet Seed,,,
Petalburg Woods,6,,,,,grass
Route 104 North,7,,,,,
Rustboro City,8,,Cut,,,
Rustboro Gym,9,,,,attack,
Route 116,10,,Rock Tomb,,,"dark,psychic"
Rusturf Tunnel First,11,,,,,
Rustboro City Rival,12,,,,,
Route 106 Beach,13,,,,,
Dewford Town,14,old_rod,Sludge Bomb,,,normal
Granite Cave,15,,Steel Wing,,,
Dewford Gym,16,,,,,
Route 109,17,,,,,ground
Slateport City,18,,"Hidden Power,Secret Power,Thief","deepseascale,deepseatooth",,
Route 110,19,,,,,
Route 103,20,,Ice Beam,,,
Trick House 1,21,,,,,
Mauville City,22,rock_smash,Rock Smash,,,
Mauville Game Corner,23,,"Thunderbolt,Flamethrower,Psychic",,,
Route 110 Cycling Road,24,,,,,
Mauville Gym,25,,,,speed,
Trick House 2,26,,Shock Wave,,,
Route 111 South,27,,,,,
Route 112,28,,,,,
Fiery Path,29,,,,,
Route 111 North,30,,Secret Power,,,
Route 113,31,,,,,
Fallarbor Town,32,,Return,,,
Route 114,33,,Dig,,,
Route 115,34,,Focus Punch,,,fighting
Meteor Falls,35,,,"sunstone,moonstone",,
Rusturf Tunnel Second,36,,Strength,,,
Route 117,37,,,,,
Mt. Chimney,38,,,,,
Jagged Pass,39,,,,,
Lavaridge Town,40,go_goggles,,,,fire
Trick House 3,41,,,,,rock
Mt. Chimney Revisit,42,,,,,
Lavaridge Gym,43,,,,,
Route 111 Desert,44,,Overheat,firestone,,poison
Petalburg Gym,45,,,,defense,
New Mauville,46,surf,"Surf,Facade,Thunderbolt",thunderstone,,
Trick House 4,47,metal_coat,,,,
Route 105,48,,,,,
Island Cave,49,,,,,
Route 106,50,,,,,
Route 107,51,,,,,
Route 108,52,,,,,
Abandoned Ship,53,,"Rain Dance,Ice Beam",,,
Route 109 Surf,54,,,,,
Route 103 Surfing,55,,,,,
Route 118,56,good_rod,,,,
Route 119,57,,Fly,leafstone,,
Weather Institute,58,,,,,water
Route 120,59,,,,,bug
Ancient Tomb,60,,,,,
Fortree City,61,,Hidden Power,,,
Fortree Gym,62,,Aerial Ace,,,
Trick House 5,63,,,,,
Route 121,64,,,,,ghost
Safari Zone,65,,SolarBeam,,,flying
Route 122,66,,,,,
Mt. Pyre,67,,Shadow Ball,,,
Route 123,69,,Giga Drain,,,
Magma Hideout,70,,,,,
Lilycove City,71,,"Blizzard,Hyper Beam,Thunder,Fire Blast",,,
Aqua Hideout,72,,,,,
Route 124,73,,,waterstone,,
Route 125,74,,,,,
Shoal Cave,75,,,,,ice
Mossdeep City,76,super_rod,Dive,,,
Mossdeep Gym,77,,,,special,
Trick House 6,78,dive,,,,electric
Space Center,79,,,,,
Route 127,80,,,,,
Route 126,81,,,,,
Route 128,82,,,,,
Seafloor Cavern,83,,Earthquake,,,
Route 129,84,,,,,
Route 130,85,,,,,
Route 131,86,,,,,
Sky Pillar,87,,,,,
Pacifidlog Town,88,,,,,
Route 132,89,,,dragon_scale,,
Route 133,90,,,,,
Route 134,91,,,,,
Sootopolis City,92,,"Brick Break,Waterfall",,,
Cave of Origin,93,,,,,
Sootopolis Gym,94,,,,,
Meteor Falls Revisit,95,waterfall,,,,dragon
Trick House 7,96,,"Dragon Claw,Iron Tail,Water Pulse",,,
Victory Road,97,,Psychic,,,
Pokemon League,98,,,,,
Marine Cave,99,,,,,
Terra Cave,100,,,,,
Trick House 8,101,,,,,
S.S. Tidal,102,,,,,
Meteor Falls Postgame,103,,,,,
Postgame,104,,,,,
EVENT ONLY,105,,,,,
