normalized_input,mapped_output
underground_path_56,route_5
roaming_johto,burned_tower
seafoam_islands,cinnabar_island
littleroot_town,littleroot_city
route_104,route_104_south
mr_chimney,mt_chimney
abandoned_ship,abandonded_ship
rusturf_tunnel,rusturf_tunnel_first
altering_cave,postgame
artisan_cave,postgame
battle_tower,postgame
cave_of_origin,postgame
desert_underpass,postgame
ever_grande_city,pokemon_league
mirage_island,postgame
mirage_tower,postgame
roaming_hoenn,postgame
southern_island,postgame
team_magmaaqua_hideout,postgame
birth_island,postgame
faraway_island,postgame
team_magma/aqua_hideout,magma_hideout
