pokemon,wild_level,wild_location,wild_item,wild_version,wild_method,wild_location_stage,evo_id
Bulbasaur,5,pallet_town,None,r,event,0,1
Charmander,5,pallet_town,None,r,event,0,2
Squirtle,5,pallet_town,None,r,event,0,3
Rattata,4,route_1,None,r,Tall grass,1,7
Pidgey,5,route_1,None,r,Tall grass,1,6
Nidoran_f,4,route_22,None,r,Tall grass,3,12
Nidoran_m,4,route_22,None,r,Tall grass,3,13
Pidgey,5,route_2,None,r,Tall grass,3,6
Rattata,5,route_2,None,r,Tall grass,3,7
Spearow,5,route_22,None,r,Tall grass,3,8
Weedle,5,route_2,None,r,Tall grass,3,5
Caterpie,3,viridian_forest,None,r,Tall grass,4,4
Metapod,4,viridian_forest,None,r,Tall grass,4,4
Pikachu,5,viridian_forest,None,r,Tall grass,4,10
Weedle,5,viridian_forest,None,r,Tall grass,4,5
Kakuna,6,viridian_forest,None,r,Tall grass,4,5
Jigglypuff,7,route_3,None,r,Tall grass,6,16
Pidgey,8,route_3,None,r,Tall grass,6,6
Spearow,8,route_3,None,r,Tall grass,6,8
Geodude,10,mt_moon,None,r,Cave,7,31
Clefairy,12,mt_moon,None,r,Cave,7,14
Paras,12,mt_moon,None,r,Cave,7,19
Zubat,12,mt_moon,None,r,Cave,7,17
Magikarp,5,route_4,None,r,event,8,65
Ekans,12,route_4,None,r,Tall grass,8,9
Rattata,12,route_4,None,r,Tall grass,8,7
Spearow,12,route_4,None,r,Tall grass,8,8
Mr_Mime,5,trade,None,r,trade,10,58
Weedle,7,route_24,None,r,Tall grass,10,5
Kakuna,8,route_24,None,r,Tall grass,10,5
Abra,12,route_24,None,r,Tall grass,10,27
Mankey,16,route_5,None,r,Tall grass,10,24
Oddish,16,route_5,None,r,Tall grass,10,18
Pidgey,16,route_5,None,r,Tall grass,10,6
Metapod,7,route_25,None,r,Tall grass,11,4
Caterpie,8,route_25,None,r,Tall grass,11,4
Weedle,8,route_25,None,r,Tall grass,11,5
Kakuna,9,route_25,None,r,Tall grass,11,5
Abra,12,route_25,None,r,Tall grass,11,27
Psyduck,15,route_6,None,r,Surfing,11,23
Mankey,16,route_6,None,r,Tall grass,11,24
Oddish,16,route_6,None,r,Tall grass,11,18
Pidgey,16,route_6,None,r,Tall grass,11,6
Golduck,20,route_6,None,r,Surfing,11,23
Farfetchd,5,trade,None,r,trade,12,35
Magikarp,5,pallet_town,Old Rod,r,Fishing,12,65
Drowzee,15,route_11,None,r,Tall grass,13,42
Ekans,15,route_11,None,r,Tall grass,13,9
Spearow,17,route_11,None,r,Tall grass,13,8
Diglett,22,diglet_cave,None,r,Cave,13,21
Dugtrio,31,diglet_cave,None,r,Cave,13,21
Ekans,17,route_9,None,r,Tall grass,15,9
Rattata,17,route_9,None,r,Tall grass,15,7
Spearow,17,route_9,None,r,Tall grass,15,8
Magikarp,5,route_10,Old Rod,r,Fishing,16,65
Ekans,17,route_10,None,r,Tall grass,16,9
Spearow,17,route_10,None,r,Tall grass,16,8
Voltorb,17,route_10,None,r,Tall grass,16,44
Machop,17,rock_tunnel,None,r,Cave,17,28
