enc_id,trainer_name_enc,location_enc,pokemon_enc,level_enc,stage_enc,hp_enc,attack_enc,defense_enc,sp_attack_enc,sp_defense_enc,speed_enc,types_enc,exp_type_enc,exp_enc,move1_name_enc,move1_type_enc,move1_power_enc,move1_accuracy_enc,move1_crit_enc,move2_name_enc,move2_type_enc,move2_power_enc,move2_accuracy_enc,move2_crit_enc,move3_name_enc,move3_type_enc,move3_power_enc,move3_accuracy_enc,move3_crit_enc,move4_name_enc,move4_type_enc,move4_power_enc,move4_accuracy_enc,move4_crit_enc
1,-,cherrygrove_city,totodile,5,2,21,12,12,10,11,10,Water,Medium Slow,135,Scratch,Normal,40.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,cherrygrove_city,chikorita,5,2,21,12,12,10,11,10,Grass,Medium Slow,135,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,cherrygrove_city,cyndaquil,5,2,21,12,12,10,11,10,Fire,Medium Slow,135,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Youngster Mikey,route_30,pidgey,2,3,13,7,6,6,6,7,Flying/Normal,Medium Slow,9,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Bug Catcher Don,route_30,caterpie,3,3,16,7,7,6,6,8,Bug,Medium Fast,27,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Bug Catcher Don,route_30,caterpie,3,3,16,7,7,6,6,8,Bug,Medium Fast,27,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Youngster Joey,route_30,rattata,4,3,17,10,8,7,8,11,Normal,Medium Fast,64,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Youngster Mikey,route_30,rattata,4,3,17,10,8,7,8,11,Normal,Medium Fast,64,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Bug Catcher Wade,route_31,caterpie,2,4,14,6,6,6,6,7,Bug,Medium Fast,8,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Bug Catcher Wade,route_31,caterpie,2,4,14,6,6,6,6,7,Bug,Medium Fast,8,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Bug Catcher Wade,route_31,caterpie,2,4,14,6,6,6,6,7,Bug,Medium Fast,8,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Bug Catcher Wade,route_31,weedle,3,4,15,7,7,6,6,8,Bug/Poison,Medium Fast,27,Poison Sting,Poison,15.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Sage Nico,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Sage Nico,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Sage Nico,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Sage Chow,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Sage Chow,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Sage Chow,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Sage Edmond,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Sage Edmond,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Sage Edmond,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Sage Neal,sprout_tower,bellsprout,6,5,22,15,10,14,9,10,Grass/Poison,Medium Slow,179,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Sage Troy,sprout_tower,bellsprout,7,5,25,16,11,15,10,11,Grass/Poison,Medium Slow,236,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Sage Li,sprout_tower,bellsprout,7,5,25,16,11,15,10,11,Grass/Poison,Medium Slow,236,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Sage Li,sprout_tower,bellsprout,7,5,25,16,11,15,10,11,Grass/Poison,Medium Slow,236,Vine Whip,Grass,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Bird Keeper Rod,violet_city_gym,pidgey,7,5,23,12,11,11,11,13,Flying/Normal,Medium Slow,236,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Bird Keeper Rod,violet_city_gym,pidgey,7,5,23,12,11,11,11,13,Flying/Normal,Medium Slow,236,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Gym Leader Falkner,violet_city_gym,pidgey,7,5,24,12,12,10,10,13,Flying/Normal,Medium Slow,236,Tackle,Normal,35.0,0.95,False,Mud-Slap,Ground,20.0,1.0,False,-,-,-,-,-,-,-,-,-,-
29,Sage Troy,sprout_tower,hoothoot,7,5,26,10,10,11,13,13,Flying/Normal,Medium Fast,343,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Gym Leader Falkner,violet_city_gym,pidgeotto,9,5,32,17,16,15,15,19,Flying/Normal,Medium Slow,419,Tackle,Normal,35.0,0.95,False,Mud-Slap,Ground,20.0,1.0,False,Gust,Flying,40.0,1.0,False,-,-,-,-,-
31,Bird Keeper Abe,violet_city_gym,spearow,9,5,27,17,11,12,12,19,Flying/Normal,Medium Fast,729,Peck,Flying,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Sage Li,sprout_tower,hoothoot,10,5,33,12,12,13,17,16,Flying/Normal,Medium Fast,1000,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Fisher Justin,route_32,magikarp,5,6,17,6,11,7,7,13,Water,Slow,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Fisher Justin,route_32,magikarp,5,6,17,6,11,7,7,13,Water,Slow,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Fisher Justin,route_32,magikarp,5,6,17,6,11,7,7,13,Water,Slow,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Bird Keeper Peter,route_32,pidgey,6,6,21,11,10,10,10,12,Flying/Normal,Medium Slow,179,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Bird Keeper Peter,route_32,pidgey,6,6,21,11,10,10,10,12,Flying/Normal,Medium Slow,179,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Youngster Albert,route_32,rattata,6,6,20,12,10,8,10,14,Normal,Medium Fast,216,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Fisher Henry,route_32,poliwag,8,6,25,14,12,12,12,20,Water,Medium Slow,314,Bubble,Water,20.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Fisher Henry,route_32,poliwag,8,6,25,14,12,12,12,20,Water,Medium Slow,314,Bubble,Water,20.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Picnicker Liz,route_32,nidoran_f,9,6,28,14,16,13,13,14,Poison,Medium Slow,419,-,-,-,-,-,Tackle,Normal,35.0,0.95,False,Scratch,Normal,40.0,1.0,False,-,-,-,-,-
42,Camper Roland,route_32,nidoran_m,9,6,28,16,13,13,13,15,Poison,Medium Slow,419,-,-,-,-,-,Tackle,Normal,35.0,0.95,False,Horn Attack,Normal,65.0,1.0,False,-,-,-,-,-
43,Youngster Albert,route_32,zubat,8,6,25,13,11,11,12,15,Flying/Poison,Medium Fast,512,Leech Life,Bug,20.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,Bird Keeper Peter,route_32,spearow,8,6,25,16,11,11,11,17,Flying/Normal,Medium Fast,512,Peck,Flying,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,Youngster Gordon,route_32,wooper,10,6,32,15,15,11,11,9,Ground/Water,Medium Fast,1000,Water Gun,Water,40.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,Fisher Ralph,route_32,goldeen,10,6,30,20,18,13,16,19,Water,Medium Fast,1000,Peck,Flying,35.0,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,Fisher Justin,route_32,magikarp,15,6,33,10,23,11,13,31,Water,Slow,4218,-,-,-,-,-,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-
48,Hiker Russel,union_cave,geodude,4,7,17,12,13,8,8,7,Ground/Rock,Medium Slow,96,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,Hiker Russel,union_cave,geodude,6,7,20,15,17,9,9,8,Ground/Rock,Medium Slow,179,Tackle,Normal,35.0,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
