location,location_stage,requires,key_items,tms,evo_items
new_bark_town,0,,,,
route_29,1,,,,
route_46_early,1,,,,
cherrygrove_city,2,,,,
route_30,3,,,,
route_31,4,,,,
dark_cave,4,,,,
violet_city,5,,,mud-slap,
sprout_tower,5,,,,
violet_city_gym,5,,,,
ruins_of_alph,18,,,,
route_32,6,,old_rod,,
union_cave,7,,,swift,
union_cave_b,17,surf,,,
route_33,8,,,,
azalea_town,9,,,,
slowpoke_well,9,,,,
azalea_town_gym,9,,,fury cutter,
ilex_forest,10,,headbutt,"headbutt,cut",
route_34,11,,,,
route_34_surf,18,surf,,,
goldenrod_city,12,,,"rock smash,blizzard,thunder,return,ice punch,fire blast,thunder punch,fire punch",
goldenrod_underground,12,,,,
goldenrod_city_gym,12,,,,
route_35,13,,squirt_bottle,rollout,
national_park,14,,,dig,
route_36,15,,,,
route_37,16,,,,
ecruteak_city,17,,surf,"shadow ball,surf",
ecruteak_city_gym,17,,,,
burned_tower,17,,,,
tin_tower,17,,,,
ecruteak_dance_theater,17,,,,
route_38,18,,,,
route_39,19,,,,
olivine_city,20,,good_rod,iron tail,
glitter_lighthouse,20,,,,
route_40,21,surf,,,
route_41,22,surf,,,
whirl_islands,22,"surf, whirlpool",,,
cianwood_city,23,,,"dynamic punch,fly",
cianwood_city_gym,23,,,,
olivine_city_gym,24,,,,
route_42,25,,,,
mt_mortar,39,,,,
mahogany_town,27,,whirlpool,"icy wind,whirlpool",
route_43,28,,,sludge bomb,
lake_of_rage,29,,,hidden power,
team_rocket_hideout,30,,,thief,
mahogany_town_gym,31,,,,
goldenrod_city_radio_tower,32,,,,
goldenrod_city_underground_warehouse,33,,,,
tin_tower_1f,34,,,,
route_44,35,,,,
ice_path,36,,waterfall,waterfall,
blackthorn_city,37,,,dragon breath,
blackthorn_city_gym,38,,,,
dragons_den,39,,,,
route_45,40,,,,
dark_cave_revisit,41,,,,
route_46,42,,,,
route_27,43,,,solar beam,
tohjo_falls,44,,,,
route_26,45,,,,
victory_road,47,,,earthquake,
indigo_plateau_pokemon_league,48,,,,
ss_aqua,49,,rainbow wing,,
vermilion_city,50,,,,
vermilion_city_gym,50,,,,
route_6,51,,,,
saffron_city,52,,,psychic,
saffron_city_gym,52,,,,
route_8,53,,,,
lavender_town,54,,,,
route_10,55,,,,
rock_tunnel,56,,,,
route_9,57,,,,
power_plant,58,,,zap cannon,
cerulean_city,59,,expn card,,
route_24,60,,,,
route_25,61,,,,
cerulean_city_gym,62,,,,
route_5,63,,,,
route_7,64,,,,
celadon_city,65,,,"curse,hyper beam",
celadon_city_gym,65,,,giga drain,
route_16,66,,,,
route_17,67,,,,
route_18,68,,,,
fuschia_city,69,,,,
fuschia_city_gym,69,,,,
route_15,70,,,,
route_14,71,,,,
route_13,72,,,,
route_12,73,,super_rod,,
route_11,74,,,,
diglett_cave,75,,,,
route_2,76,,,,
pewter_city,77,,silver wing,,
pewter_city_gym,77,,,,
route_3,78,,,,
mt_moon,79,,,,
route_4,80,,,,
viridian_city,81,,,,
route_1,82,,,,
pallet_town,83,,,,
route_21,84,,,,
seafoam_islands,85,,,,
route_20,86,,,,
seafoam_islands_gym,87,,,,
route_19,88,,,,
viridian_city_gym,89,,,,
route_22,90,,,,
route_28,91,,,,
mount_silver,92,,,,
