enc_id,trainer_name_enc,location_enc,pokemon_enc,level_enc,stage_enc,hp_enc,attack_enc,defense_enc,sp_attack_enc,sp_defense_enc,speed_enc,types_enc,exp_type_enc,exp_enc,move1_name_enc,move1_type_enc,move1_power_enc,move1_accuracy_enc,move1_crit_enc,move2_name_enc,move2_type_enc,move2_power_enc,move2_accuracy_enc,move2_crit_enc,move3_name_enc,move3_type_enc,move3_power_enc,move3_accuracy_enc,move3_crit_enc,move4_name_enc,move4_type_enc,move4_power_enc,move4_accuracy_enc,move4_crit_enc
1,Green1,pallet_town,squirtle,5,0,20,10,12,10,10,10,Water,Medium Slow,135,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Green1,pallet_town,bulbasaur,5,0,20,10,10,12,12,10,Grass/Poison,Medium Slow,135,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Green1,pallet_town,charmander,5,0,19,11,10,10,10,12,Fire,Medium Slow,135,Scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Green1,route_22,squirtle,8,3,26,14,16,14,14,13,Water,Medium Slow,314,Bubble,Water,20,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
5,Green1,route_22,bulbasaur,8,3,26,14,14,16,16,13,Grass/Poison,Medium Slow,314,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Green1,route_22,charmander,8,3,25,14,13,14,14,16,Fire,Medium Slow,314,Scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Green1,route_22,pidgey,9,3,27,14,13,12,12,16,Flying/Normal,Medium Slow,419,Gust,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,BugCatcher,viridian_forest,weedle,6,4,21,10,9,8,8,11,Bug/Poison,Medium Fast,216,Poison Sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,BugCatcher,viridian_forest,caterpie,6,4,22,9,10,8,8,11,Bug,Medium Fast,216,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,BugCatcher,viridian_forest,weedle,7,4,23,11,10,8,8,13,Bug/Poison,Medium Fast,343,Poison Sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,BugCatcher,viridian_forest,kakuna,7,4,24,9,13,9,9,11,Bug/Poison,Medium Fast,343,Struggle,Normal,1,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,BugCatcher,viridian_forest,weedle,7,4,23,11,10,8,8,13,Bug/Poison,Medium Fast,343,Poison Sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,BugCatcher,viridian_forest,weedle,9,4,27,12,11,10,10,15,Bug/Poison,Medium Fast,729,Poison Sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Brock,pewter_gym,geodude,12,5,33,26,30,14,14,11,Ground/Rock,Medium Slow,973,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,JrTrainerM,pewter_gym,diglett,11,5,24,19,12,16,16,27,Ground,Medium Fast,1331,Scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,JrTrainerM,pewter_gym,sandshrew,11,5,33,23,25,13,13,15,Ground,Medium Fast,1331,Scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Brock,pewter_gym,onix,14,5,36,20,52,15,15,26,Ground/Rock,Medium Fast,2744,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Lass,route_3,pidgey,9,6,27,14,13,12,12,16,Flying/Normal,Medium Slow,419,Gust,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Lass,route_3,pidgey,9,6,27,14,13,12,12,16,Flying/Normal,Medium Slow,419,Gust,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Lass,route_3,nidoran_m,10,6,30,18,14,14,14,16,Poison,Medium Slow,560,Horn Attack,Normal,65,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
21,BugCatcher,route_3,weedle,9,6,27,12,11,10,10,15,Bug/Poison,Medium Fast,729,Poison Sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,BugCatcher,route_3,kakuna,9,6,28,11,15,10,10,12,Bug/Poison,Medium Fast,729,Struggle,Normal,1,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,BugCatcher,route_3,caterpie,9,6,28,12,12,10,10,14,Bug,Medium Fast,729,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,BugCatcher,route_3,metapod,9,6,29,10,16,10,10,11,Bug,Medium Fast,729,Struggle,Normal,1,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,BugCatcher,route_3,caterpie,10,6,30,12,13,10,10,15,Bug,Medium Fast,1000,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,BugCatcher,route_3,weedle,10,6,29,13,12,10,10,16,Bug/Poison,Medium Fast,1000,Poison Sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,BugCatcher,route_3,caterpie,10,6,30,12,13,10,10,15,Bug,Medium Fast,1000,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Lass,route_3,rattata,10,6,27,18,13,11,11,21,Normal,Medium Fast,1000,Quick Attack,Normal,40,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
29,Youngster,route_3,rattata,11,6,29,19,14,12,12,22,Normal,Medium Fast,1331,Quick Attack,Normal,40,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
30,Youngster,route_3,ekans,11,6,30,20,16,15,15,18,Poison,Medium Fast,1331,Poison Sting,Poison,15,1.0,False,Wrap,Normal,15,0.85,False,-,-,-,-,-,-,-,-,-,-
31,BugCatcher,route_3,caterpie,11,6,32,13,14,11,11,16,Bug,Medium Fast,1331,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,BugCatcher,route_3,metapod,11,6,33,11,18,12,12,13,Bug,Medium Fast,1331,Struggle,Normal,1,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Lass,route_3,jigglypuff,14,6,58,20,12,14,14,12,Normal,Fast,2195,Pound,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Youngster,route_3,spearow,14,6,37,24,15,15,15,26,Flying/Normal,Medium Fast,2744,Peck,Flying,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Hiker,mt_moon,geodude,10,7,29,22,26,12,12,10,Ground/Rock,Medium Slow,560,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Hiker,mt_moon,geodude,10,7,29,22,26,12,12,10,Ground/Rock,Medium Slow,560,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Lass,mt_moon,oddish,11,7,32,17,18,23,23,13,Grass/Poison,Medium Slow,742,Absorb,Grass,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Lass,mt_moon,bellsprout,11,7,33,23,14,22,22,15,Grass/Poison,Medium Slow,742,Vine Whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Youngster,mt_moon,rattata,10,7,27,18,13,11,11,21,Normal,Medium Fast,1000,Quick Attack,Normal,40,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
40,Youngster,mt_moon,rattata,10,7,27,18,13,11,11,21,Normal,Medium Fast,1000,Quick Attack,Normal,40,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
41,Youngster,mt_moon,zubat,10,7,29,15,13,14,14,17,Flying/Poison,Medium Fast,1000,Leech Life,Bug,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,BugCatcher,mt_moon,caterpie,10,7,30,12,13,10,10,15,Bug,Medium Fast,1000,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,BugCatcher,mt_moon,metapod,10,7,31,10,17,11,11,12,Bug,Medium Fast,1000,Struggle,Normal,1,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,BugCatcher,mt_moon,caterpie,10,7,30,12,13,10,10,15,Bug,Medium Fast,1000,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,Hiker,mt_moon,onix,10,7,28,15,38,12,12,20,Ground/Rock,Medium Fast,1000,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,BugCatcher,mt_moon,weedle,11,7,31,14,13,11,11,17,Bug/Poison,Medium Fast,1331,Poison Sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,BugCatcher,mt_moon,kakuna,11,7,32,12,17,12,12,14,Bug/Poison,Medium Fast,1331,Struggle,Normal,1,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,SuperNerd,mt_moon,magnemite,11,7,28,14,22,27,27,16,Electric,Medium Fast,1331,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,SuperNerd,mt_moon,voltorb,11,7,31,13,17,18,18,28,Electric,Medium Fast,1331,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,Rocket,mt_moon,sandshrew,11,7,33,23,25,13,13,15,Ground,Medium Fast,1331,Scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,Rocket,mt_moon,rattata,11,7,29,19,14,12,12,22,Normal,Medium Fast,1331,Quick Attack,Normal,40,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
52,Rocket,mt_moon,zubat,11,7,31,16,14,15,15,18,Flying/Poison,Medium Fast,1331,Leech Life,Bug,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,SuperNerd,mt_moon,grimer,12,7,43,26,18,16,16,12,Poison,Medium Fast,1728,Pound,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,SuperNerd,mt_moon,voltorb,12,7,33,14,18,20,20,30,Electric,Medium Fast,1728,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,SuperNerd,mt_moon,koffing,12,7,33,22,29,21,21,15,Poison,Medium Fast,1728,Smog,Poison,20,0.7,False,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
56,Rocket,mt_moon,zubat,12,7,33,17,15,16,16,20,Flying/Poison,Medium Fast,1728,Leech Life,Bug,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Rocket,mt_moon,ekans,12,7,32,21,17,16,16,20,Poison,Medium Fast,1728,Poison Sting,Poison,15,1.0,False,Wrap,Normal,15,0.85,False,-,-,-,-,-,-,-,-,-,-
58,Lass,mt_moon,clefairy,14,7,45,20,20,24,24,17,Normal,Fast,2195,Pound,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,Rocket,mt_moon,rattata,13,7,32,21,16,13,13,25,Normal,Medium Fast,2197,Quick Attack,Normal,40,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
60,Rocket,mt_moon,zubat,13,7,35,19,16,17,17,21,Flying/Poison,Medium Fast,2197,Leech Life,Bug,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,Rocket,mt_moon,raticate,16,7,46,33,26,23,23,38,Normal,Medium Fast,4096,Hyper Fang,Normal,80,0.9,False,Quick Attack,Normal,40,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-
62,Green1,cerulean_city,abra,15,9,34,13,11,38,38,34,Psychic,Medium Slow,2035,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,Green1,cerulean_city,squirtle,17,9,44,24,29,24,24,22,Water,Medium Slow,3120,Water Gun,Water,40,1.0,False,Bubble,Water,20,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-
64,Green1,cerulean_city,bulbasaur,17,9,45,24,24,29,29,23,Grass/Poison,Medium Slow,3120,Vine Whip,Grass,35,1.0,False,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
65,Green1,cerulean_city,charmander,17,9,42,25,22,24,24,29,Fire,Medium Slow,3120,Ember,Fire,40,1.0,False,Scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-
66,Rocket,cerulean_city,machop,17,9,53,35,24,19,19,19,Fighting,Medium Slow,3120,Karate Chop,Normal,50,1.0,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
