evo_id,move_type_1,move_type_2,move_type_3,move_type_4,variant_id
1,Grass,Normal,none,none,1
2,Fire,Flying,Ground,Normal,2
3,Ground,Ice,Normal,Water,3
4,Grass,Normal,Psychic,none,4
5,Bug,Grass,Normal,Poison,5
6,Flying,Normal,none,none,6
7,Electric,Ground,Ice,Normal,7
7,Electric,Ice,Normal,Water,8
7,Electric,Ground,Normal,Water,9
7,Electric,Ground,Ice,Water,10
7,Ground,Ice,Normal,Water,11
8,Flying,Normal,none,none,12
9,Grass,Normal,Poison,Rock,13
9,Grass,Ground,Normal,Rock,14
9,Grass,Ground,Poison,Rock,15
9,Grass,Ground,Normal,Poison,16
9,Ground,Normal,Poison,Rock,17
10,Electric,Normal,none,none,18
11,Ground,Normal,Poison,Rock,19
12,Fire,Ground,Ice,Water,20
12,Fighting,Ground,Normal,Rock,21
12,Electric,Fire,Ground,Normal,22
12,Ice,Normal,Poison,Rock,23
12,Electric,Ground,Ice,Rock,24
12,Ground,Ice,Normal,Rock,25
12,Electric,Fighting,Fire,Ground,26
12,Electric,Fighting,Ice,Rock,27
12,Fighting,Fire,Ground,Water,28
12,Fighting,Fire,Ice,Water,29
12,Fighting,Ground,Poison,Water,30
12,Fighting,Fire,Normal,Rock,31
12,Electric,Fire,Normal,Rock,32
12,Ground,Ice,Poison,Water,33
12,Electric,Fire,Ground,Water,34
12,Electric,Ground,Normal,Poison,35
12,Electric,Ground,Poison,Water,36
12,Fire,Ground,Poison,Rock,37
12,Fighting,Ice,Normal,Rock,38
12,Fire,Ground,Ice,Poison,39
12,Electric,Ice,Rock,Water,40
12,Fighting,Normal,Poison,Water,41
12,Fighting,Fire,Ground,Poison,42
12,Fighting,Fire,Ice,Poison,43
12,Fighting,Ice,Poison,Water,44
12,Electric,Ice,Normal,Water,45
12,Ground,Poison,Rock,Water,46
12,Electric,Fire,Ground,Poison,47
12,Electric,Fire,Ice,Poison,48
12,Fire,Ice,Normal,Water,49
12,Fighting,Poison,Rock,Water,50
12,Electric,Normal,Rock,Water,51
12,Fire,Ground,Ice,Rock,52
12,Electric,Fire,Ground,Ice,53
12,Electric,Fighting,Normal,Rock,54
12,Electric,Ice,Poison,Rock,55
12,Fire,Normal,Poison,Water,56
12,Electric,Ice,Normal,Poison,57
12,Electric,Fighting,Ground,Water,58
12,Fire,Ice,Poison,Water,59
12,Fighting,Fire,Ice,Rock,60
12,Fighting,Fire,Poison,Water,61
12,Electric,Fighting,Poison,Water,62
12,Fighting,Ground,Ice,Normal,63
12,Fire,Ice,Normal,Poison,64
12,Electric,Fighting,Fire,Normal,65
12,Electric,Poison,Rock,Water,66
12,Electric,Normal,Poison,Rock,67
12,Electric,Fire,Ice,Rock,68
12,Electric,Fire,Poison,Water,69
12,Ground,Normal,Poison,Rock,70
12,Electric,Ground,Ice,Normal,71
12,Fire,Poison,Rock,Water,72
12,Electric,Fighting,Ground,Poison,73
12,Electric,Fighting,Fire,Water,74
12,Fighting,Ground,Ice,Water,75
12,Fighting,Ground,Rock,Water,76
12,Fighting,Ground,Normal,Water,77
12,Ground,Ice,Rock,Water,78
