evo_id,move_type_1,move_type_2,move_type_3,move_type_4,variant_id
1,Grass,Normal,none,none,1
2,Fire,Flying,Ground,Normal,2
3,Ground,Ice,Normal,Water,3
4,Grass,Normal,Psychic,none,4
5,Bug,Grass,Normal,Poison,5
6,Flying,Normal,none,none,6
7,Electric,Ground,Ice,Normal,7
7,Electric,Ground,Ice,Water,8
7,Electric,Ground,Normal,Water,9
7,Electric,Ice,Normal,Water,10
7,Ground,Ice,Normal,Water,11
8,Flying,Normal,none,none,12
9,Grass,Ground,Poison,Rock,13
9,Grass,Ground,Normal,Rock,14
9,Grass,Normal,Poison,Rock,15
9,Ground,Normal,Poison,Rock,16
9,Grass,Ground,Normal,Poison,17
10,Electric,Normal,none,none,18
11,Ground,Normal,Poison,Rock,19
12,Electric,Fire,Poison,Water,20
12,Fire,Normal,Poison,Water,21
12,Ground,Normal,Poison,Water,22
12,Fighting,Ice,Normal,Water,23
12,Fighting,Ice,Normal,Poison,24
12,Electric,Fighting,Ground,Poison,25
12,Electric,Ground,Ice,Rock,26
12,Fighting,Ground,Ice,Rock,27
12,Electric,Fire,Ground,Rock,28
12,Fire,Ice,Poison,Water,29
12,Normal,Poison,Rock,Water,30
12,Fighting,Ground,Normal,Water,31
12,Electric,Ice,Rock,Water,32
12,Electric,Fire,Rock,Water,33
12,Fighting,Ground,Normal,Poison,34
12,Ice,Poison,Rock,Water,35
12,Ice,Normal,Poison,Water,36
12,Electric,Ground,Normal,Rock,37
12,Electric,Fighting,Fire,Poison,38
12,Electric,Ice,Poison,Water,39
12,Fighting,Fire,Ice,Rock,40
12,Fire,Ice,Rock,Water,41
12,Electric,Fighting,Ice,Rock,42
12,Fighting,Fire,Ground,Ice,43
12,Electric,Fighting,Normal,Rock,44
12,Electric,Fighting,Ground,Ice,45
12,Fighting,Fire,Ground,Normal,46
12,Fighting,Fire,Normal,Rock,47
12,Fire,Ground,Normal,Rock,48
12,Ice,Normal,Rock,Water,49
12,Fire,Ground,Poison,Water,50
12,Electric,Fire,Poison,Rock,51
12,Electric,Ground,Rock,Water,52
12,Electric,Fighting,Ground,Normal,53
12,Fire,Normal,Poison,Rock,54
12,Ground,Normal,Poison,Rock,55
12,Fighting,Fire,Ground,Water,56
12,Fighting,Fire,Ground,Poison,57
12,Electric,Fighting,Ground,Water,58
12,Fighting,Ice,Normal,Rock,59
12,Electric,Fighting,Fire,Ice,60
12,Electric,Fire,Ice,Normal,61
12,Electric,Fighting,Fire,Normal,62
12,Electric,Fighting,Rock,Water,63
12,Electric,Ground,Poison,Water,64
12,Fire,Ice,Poison,Rock,65
12,Fighting,Normal,Poison,Water,66
12,Fire,Ground,Rock,Water,67
12,Electric,Fire,Ice,Water,68
12,Electric,Fighting,Fire,Water,69
12,Electric,Ice,Normal,Water,70
12,Electric,Fire,Ice,Poison,71
12,Electric,Fire,Normal,Water,72
12,Electric,Ice,Normal,Poison,73
12,Ice,Normal,Poison,Rock,74
12,Electric,Fire,Normal,Poison,75
12,Fighting,Poison,Rock,Water,76
12,Ground,Ice,Normal,Rock,77
12,Electric,Ice,Poison,Rock,78
