pokemon,level,wild_location,item,version,method,wild_location_stage
Bulbasaur,5,pallet_town,None,r,event,0
Charmander,5,pallet_town,None,r,event,0
Squirtle,5,pallet_town,None,r,event,0
Rattata,4,route_1,None,r,Tall grass,1
Pidgey,5,route_1,None,r,Tall grass,1
Rattata,5,route_2,None,r,Tall grass,3
Weedle,5,route_2,None,r,Tall grass,3
Spearow,6,route_22,None,r,Tall grass,3
Caterpie,3,viridian_forest,None,r,Tall grass,4
Metapod,4,viridian_forest,None,r,Tall grass,4
Pikachu,5,viridian_forest,None,r,Tall grass,4
Kakuna,6,viridian_forest,None,r,Tall grass,4
Jigglypuff,7,route_3,None,r,Tall grass,6
Pidgey,8,route_3,None,r,Tall grass,6
Spearow,8,route_3,None,r,Tall grass,6
Geodude,10,mt_moon,None,r,Cave,7
Clefairy,12,mt_moon,None,r,Cave,7
Paras,12,mt_moon,None,r,Cave,7
Zubat,12,mt_moon,None,r,Cave,7
Magikarp,5,route_4,None,r,event,8
Ekans,12,route_4,None,r,Tall grass,8
Rattata,12,route_4,None,r,Tall grass,8
Spearow,12,route_4,None,r,Tall grass,8
Weedle,7,route_24,None,r,Tall grass,10
Kakuna,8,route_24,None,r,Tall grass,10
Abra,12,route_24,None,r,Tall grass,10
Mankey,16,route_5,None,r,Tall grass,10
Oddish,16,route_5,None,r,Tall grass,10
Pidgey,16,route_5,None,r,Tall grass,10
Metapod,7,route_25,None,r,Tall grass,11
Caterpie,8,route_25,None,r,Tall grass,11
Weedle,8,route_25,None,r,Tall grass,11
Kakuna,9,route_25,None,r,Tall grass,11
Psyduck,15,route_6,None,r,Surfing,11
Golduck,20,route_6,None,r,Surfing,11
Drowzee,15,route_11,None,r,Tall grass,13
Ekans,15,route_11,None,r,Tall grass,13
Spearow,17,route_11,None,r,Tall grass,13
Diglett,22,diglet_cave,None,r,Cave,13
Dugtrio,31,diglet_cave,None,r,Cave,13
Ekans,17,route_9,None,r,Tall grass,15
Rattata,17,route_9,None,r,Tall grass,15
Voltorb,17,route_10,None,r,Tall grass,16
Machop,17,rock_tunnel,None,r,Cave,17
Onix,17,rock_tunnel,None,r,Cave,17
Geodude,18,rock_tunnel,None,r,Cave,17
Zubat,18,rock_tunnel,None,r,Cave,17
Cubone,24,pokemon_tower,None,r,Cave,19
Gastly,24,pokemon_tower,None,r,Cave,19
Haunter,30,pokemon_tower,None,r,Cave,19
Growlithe,18,route_8,None,r,Tall grass,20
Ekans,19,route_8,None,r,Tall grass,20
Mankey,20,route_8,None,r,Tall grass,20
Pidgey,20,route_8,None,r,Tall grass,20
Growlithe,20,route_7,None,r,Tall grass,21
Oddish,22,route_7,None,r,Tall grass,21
Pidgey,22,route_7,None,r,Tall grass,21
Eevee,25,celadon_city,None,r,event,22
Lapras,15,silph_co,None,r,event,23
Hitmonchan,30,saffron_city,None,r,event,23
Hitmonlee,30,saffron_city,None,r,event,23
