enc_id,trainer_name_enc,location_enc,pokemon_enc,level_enc,stage_enc,hp_enc,attack_enc,defense_enc,sp_attack_enc,sp_defense_enc,speed_enc,types_enc,exp_type_enc,exp_enc,move1_name_enc,move1_type_enc,move1_power_enc,move1_accuracy_enc,move1_crit_enc,move2_name_enc,move2_type_enc,move2_power_enc,move2_accuracy_enc,move2_crit_enc,move3_name_enc,move3_type_enc,move3_power_enc,move3_accuracy_enc,move3_crit_enc,move4_name_enc,move4_type_enc,move4_power_enc,move4_accuracy_enc,move4_crit_enc
1,???,cherrygrove_city,totodile,5,2,21,12,12,10,11,10,Water,Medium Slow,135,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,???,cherrygrove_city,chikorita,5,2,21,12,12,10,11,10,Grass,Medium Slow,135,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,???,cherrygrove_city,cyndaquil,5,2,21,12,12,10,11,10,Fire,Medium Slow,135,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,youngster_mikey,route_30,pidgey,2,3,13,7,6,6,6,7,Flying/Normal,Medium Slow,9,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,bug_catcher_don,route_30,caterpie,3,3,16,7,7,6,6,8,Bug,Medium Fast,27,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,bug_catcher_don,route_30,caterpie,3,3,16,7,7,6,6,8,Bug,Medium Fast,27,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,youngster_joey,route_30,rattata,4,3,17,10,8,7,8,11,Normal,Medium Fast,64,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,youngster_mikey,route_30,rattata,4,3,17,10,8,7,8,11,Normal,Medium Fast,64,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,bug_catcher_wade,route_31,caterpie,2,4,14,6,6,6,6,7,Bug,Medium Fast,8,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,bug_catcher_wade,route_31,caterpie,2,4,14,6,6,6,6,7,Bug,Medium Fast,8,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,bug_catcher_wade,route_31,caterpie,2,4,14,6,6,6,6,7,Bug,Medium Fast,8,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,bug_catcher_wade,route_31,weedle,3,4,15,7,7,6,6,8,Bug/Poison,Medium Fast,27,poison sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,sage_nico,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,sage_nico,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,sage_nico,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,sage_chow,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,sage_chow,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,sage_chow,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,sage_edmond,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,sage_edmond,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,sage_edmond,sprout_tower,bellsprout,3,5,16,10,7,9,7,7,Grass/Poison,Medium Slow,57,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,sage_neal,sprout_tower,bellsprout,6,5,22,15,10,14,9,10,Grass/Poison,Medium Slow,179,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,sage_troy,sprout_tower,bellsprout,7,5,25,16,11,15,10,11,Grass/Poison,Medium Slow,236,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,sage_li,sprout_tower,bellsprout,7,5,25,16,11,15,10,11,Grass/Poison,Medium Slow,236,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,sage_li,sprout_tower,bellsprout,7,5,25,16,11,15,10,11,Grass/Poison,Medium Slow,236,vine whip,Grass,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,bird_keeper_rod,violet_city_gym,pidgey,7,5,23,12,11,11,11,13,Flying/Normal,Medium Slow,236,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,bird_keeper_rod,violet_city_gym,pidgey,7,5,23,12,11,11,11,13,Flying/Normal,Medium Slow,236,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,gym_leader_falkner,violet_city_gym,pidgey,7,5,24,12,12,10,10,13,Flying/Normal,Medium Slow,236,Tackle,Normal,35,0.95,False,Mud-Slap,Ground,20,1.0,False,-,-,-,-,-,-,-,-,-,-
29,sage_troy,sprout_tower,hoothoot,7,5,26,10,10,11,13,13,Flying/Normal,Medium Fast,343,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,gym_leader_falkner,violet_city_gym,pidgeotto,9,5,32,17,16,15,15,19,Flying/Normal,Medium Slow,419,Tackle,Normal,35,0.95,False,Gust,Flying,40,1.0,False,Mud-Slap,Ground,20,1.0,False,-,-,-,-,-
31,bird_keeper_abe,violet_city_gym,spearow,9,5,27,17,11,12,12,19,Flying/Normal,Medium Fast,729,peck,Flying,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,sage_li,sprout_tower,hoothoot,10,5,33,12,12,13,17,16,Flying/Normal,Medium Fast,1000,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,fisher_justin,route_32,magikarp,5,6,17,6,11,7,7,13,Water,Slow,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,fisher_justin,route_32,magikarp,5,6,17,6,11,7,7,13,Water,Slow,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,fisher_justin,route_32,magikarp,5,6,17,6,11,7,7,13,Water,Slow,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,bird_keeper_peter,route_32,pidgey,6,6,21,11,10,10,10,12,Flying/Normal,Medium Slow,179,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,bird_keeper_peter,route_32,pidgey,6,6,21,11,10,10,10,12,Flying/Normal,Medium Slow,179,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
