pokemon,move_level,move_name,move_type,power,accuracy,crit,move_stage,exp_type,evo_id
bulbasaur,1.0,tackle,Normal,35,0.95,False,,Medium Slow,1
bulbasaur,10.0,vine whip,Grass,35,1.0,False,,Medium Slow,1
bulbasaur,20.0,razor leaf,Grass,55,0.95,True,,Medium Slow,1
bulbasaur,,cut,Normal,50,0.95,False,10.0,Medium Slow,1
bulbasaur,,headbutt,Normal,70,1.0,False,10.0,Medium Slow,1
bulbasaur,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,1
bulbasaur,,giga drain,Grass,60,1.0,False,65.0,Medium Slow,1
bulbasaur,,return,Normal,102,1.0,False,12.0,Medium Slow,1
bulbasaur,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,1
bulbasaur,,fury cutter,Bug,10,0.95,False,9.0,Medium Slow,1
ivysaur,1.0,tackle,Normal,35,0.95,False,,Medium Slow,1
ivysaur,10.0,vine whip,Grass,35,1.0,False,,Medium Slow,1
ivysaur,22.0,razor leaf,Grass,55,0.95,True,,Medium Slow,1
ivysaur,,cut,Normal,50,0.95,False,10.0,Medium Slow,1
ivysaur,,headbutt,Normal,70,1.0,False,10.0,Medium Slow,1
ivysaur,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,1
ivysaur,,giga drain,Grass,60,1.0,False,65.0,Medium Slow,1
ivysaur,,return,Normal,102,1.0,False,12.0,Medium Slow,1
ivysaur,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,1
ivysaur,,fury cutter,Bug,10,0.95,False,9.0,Medium Slow,1
venusaur,1.0,tackle,Normal,35,0.95,False,,Medium Slow,1
venusaur,1.0,vine whip,Grass,35,1.0,False,,Medium Slow,1
venusaur,22.0,razor leaf,Grass,55,0.95,True,,Medium Slow,1
venusaur,,cut,Normal,50,0.95,False,10.0,Medium Slow,1
venusaur,,headbutt,Normal,70,1.0,False,10.0,Medium Slow,1
venusaur,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,1
venusaur,,hyper beam,Normal,75,0.9,False,65.0,Medium Slow,1
venusaur,,giga drain,Grass,60,1.0,False,65.0,Medium Slow,1
venusaur,,return,Normal,102,1.0,False,12.0,Medium Slow,1
venusaur,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,1
venusaur,,fury cutter,Bug,10,0.95,False,9.0,Medium Slow,1
charmander,1.0,scratch,Normal,40,1.0,False,,Medium Slow,2
charmander,7.0,ember,Fire,40,1.0,False,,Medium Slow,2
charmander,19.0,rage,Normal,20,1.0,False,,Medium Slow,2
charmander,31.0,flamethrower,Fire,95,1.0,False,,Medium Slow,2
charmander,37.0,slash,Normal,70,1.0,True,,Medium Slow,2
charmander,49.0,fire spin,Fire,15,0.7,False,,Medium Slow,2
charmander,,cut,Normal,50,0.95,False,10.0,Medium Slow,2
charmander,,strength,Normal,80,1.0,False,,Medium Slow,2
charmander,,dynamicpunch,Fighting,100,0.5,False,,Medium Slow,2
charmander,,headbutt,Normal,70,1.0,False,10.0,Medium Slow,2
charmander,,rock smash,Fighting,20,1.0,False,12.0,Medium Slow,2
charmander,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,2
charmander,,iron tail,Steel,100,0.75,False,20.0,Medium Slow,2
charmander,,dragonbreath,Dragon,60,1.0,False,,Medium Slow,2
charmander,,return,Normal,102,1.0,False,12.0,Medium Slow,2
charmander,,dig,Ground,60,1.0,False,14.0,Medium Slow,2
charmander,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,2
charmander,,fire blast,Fire,120,0.85,False,12.0,Medium Slow,2
charmander,,swift,Normal,60,1.0,False,7.0,Medium Slow,2
charmander,,fire punch,Fire,75,1.0,False,12.0,Medium Slow,2
charmander,,fury cutter,Bug,10,0.95,False,9.0,Medium Slow,2
charmeleon,1.0,ember,Fire,40,1.0,False,,Medium Slow,2
charmeleon,1.0,scratch,Normal,40,1.0,False,,Medium Slow,2
charmeleon,20.0,rage,Normal,20,1.0,False,,Medium Slow,2
charmeleon,34.0,flamethrower,Fire,95,1.0,False,,Medium Slow,2
charmeleon,41.0,slash,Normal,70,1.0,True,,Medium Slow,2
charmeleon,55.0,fire spin,Fire,15,0.7,False,,Medium Slow,2
charmeleon,,cut,Normal,50,0.95,False,10.0,Medium Slow,2
charmeleon,,strength,Normal,80,1.0,False,,Medium Slow,2
charmeleon,,dynamicpunch,Fighting,100,0.5,False,,Medium Slow,2
charmeleon,,headbutt,Normal,70,1.0,False,10.0,Medium Slow,2
charmeleon,,rock smash,Fighting,20,1.0,False,12.0,Medium Slow,2
charmeleon,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,2
charmeleon,,iron tail,Steel,100,0.75,False,20.0,Medium Slow,2
charmeleon,,dragonbreath,Dragon,60,1.0,False,,Medium Slow,2
charmeleon,,return,Normal,102,1.0,False,12.0,Medium Slow,2
charmeleon,,dig,Ground,60,1.0,False,14.0,Medium Slow,2
charmeleon,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,2
charmeleon,,fire blast,Fire,120,0.85,False,12.0,Medium Slow,2
charmeleon,,swift,Normal,60,1.0,False,7.0,Medium Slow,2
charmeleon,,fire punch,Fire,75,1.0,False,12.0,Medium Slow,2
charmeleon,,fury cutter,Bug,10,0.95,False,9.0,Medium Slow,2
charizard,1.0,ember,Fire,40,1.0,False,,Medium Slow,2
charizard,1.0,scratch,Normal,40,1.0,False,,Medium Slow,2
charizard,20.0,rage,Normal,20,1.0,False,,Medium Slow,2
charizard,34.0,flamethrower,Fire,95,1.0,False,,Medium Slow,2
charizard,36.0,wing attack,Flying,60,1.0,False,,Medium Slow,2
charizard,44.0,slash,Normal,70,1.0,True,,Medium Slow,2
charizard,64.0,fire spin,Fire,15,0.7,False,,Medium Slow,2
charizard,,cut,Normal,50,0.95,False,10.0,Medium Slow,2
charizard,,fly,Flying,70,0.95,False,23.0,Medium Slow,2
charizard,,strength,Normal,80,1.0,False,,Medium Slow,2
charizard,,dynamicpunch,Fighting,100,0.5,False,,Medium Slow,2
