Types,Normal,Fighting,Flying,Poison,Ground,Rock,Bug,Ghost,Steel,Fire,Water,Grass,Electric,Psychic,Ice,Dragon,Dark,Bug/Dark,Bug/Dragon,Bug/Electric,Bug/Fighting,Bug/Fire,Bug/Flying,Bug/Ghost,Bug/Grass,Bug/Ground,Bug/Ice,Bug/Normal,Bug/Poison,Bug/Psychic,Bug/Rock,Bug/Steel,Bug/Water,Dark/Dragon,Dark/Electric,Dark/Fighting,Dark/Fire,Dark/Flying,Dark/Ghost,Dark/Grass,Dark/Ground,Dark/Ice,Dark/Normal,Dark/Poison,Dark/Psychic,Dark/Rock,Dark/Steel,Dark/Water,Dragon/Electric,Dragon/Fighting,Dragon/Fire,Dragon/Flying,Dragon/Ghost,Dragon/Grass,Dragon/Ground,Dragon/Ice,Dragon/Normal,Dragon/Poison,Dragon/Psychic,Dragon/Rock,Dragon/Steel,Dragon/Water,Electric/Fighting,Electric/Fire,Electric/Flying,Electric/Ghost,Electric/Grass,Electric/Ground,Electric/Ice,Electric/Normal,Electric/Poison,Electric/Psychic,Electric/Rock,Electric/Steel,Electric/Water,Fighting/Fire,Fighting/Flying,Fighting/Ghost,Fighting/Grass,Fighting/Ground,Fighting/Ice,Fighting/Normal,Fighting/Poison,Fighting/Psychic,Fighting/Rock,Fighting/Steel,Fighting/Water,Fire/Flying,Fire/Ghost,Fire/Grass,Fire/Ground,Fire/Ice,Fire/Normal,Fire/Poison,Fire/Psychic,Fire/Rock,Fire/Steel,Fire/Water,Flying/Ghost,Flying/Grass,Flying/Ground,Flying/Ice,Flying/Normal,Flying/Poison,Flying/Psychic,Flying/Rock,Flying/Steel,Flying/Water,Ghost/Grass,Ghost/Ground,Ghost/Ice,Ghost/Normal,Ghost/Poison,Ghost/Psychic,Ghost/Rock,Ghost/Steel,Ghost/Water,Grass/Ground,Grass/Ice,Grass/Normal,Grass/Poison,Grass/Psychic,Grass/Rock,Grass/Steel,Grass/Water,Ground/Ice,Ground/Normal,Ground/Poison,Ground/Psychic,Ground/Rock,Ground/Steel,Ground/Water,Ice/Normal,Ice/Poison,Ice/Psychic,Ice/Rock,Ice/Steel,Ice/Water,Normal/Poison,Normal/Psychic,Normal/Rock,Normal/Steel,Normal/Water,Poison/Psychic,Poison/Rock,Poison/Steel,Poison/Water,Psychic/Rock,Psychic/Steel,Psychic/Water,Rock/Steel,Rock/Water,Steel/Water
Normal,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.25,0.5,0.5
Fighting,2.0,1.0,0.5,0.5,1.0,2.0,0.5,0,2.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,0.25,0,0.5,0.5,1.0,1.0,0.25,0.25,1.0,1.0,0.5,2.0,2.0,2.0,2.0,1.0,0,2.0,2.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,0.5,0,1.0,1.0,2.0,2.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.5,0,1.0,1.0,2.0,2.0,0.5,0.5,2.0,2.0,1.0,1.0,0.5,0,1.0,1.0,2.0,2.0,0.5,0.5,2.0,2.0,1.0,0.5,0,1.0,1.0,2.0,2.0,0.5,0.5,2.0,2.0,1.0,0,0.5,0.5,1.0,1.0,0.25,0.25,1.0,1.0,0.5,0,0,0,0,0,0,0,0,0,1.0,2.0,2.0,0.5,0.5,2.0,2.0,1.0,2.0,2.0,0.5,0.5,2.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,0.25,1.0,1.0,0.5,1.0,1.0,0.5,4.0,2.0,2.0
Flying,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.25,0.5,0.5
Poison,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,0,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,0,1.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,0.5,0,1.0,1.0,0.25,0.5,0.5,0.25,0.5,0.25,0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,0,2.0,0.5,0.5,0.25,0.5,0.25,0,0.5,1.0,0.5,1.0,0.5,0,1.0,0.5,1.0,0.5,0,1.0,0.5,0.25,0,0.5,0.5,0,1.0,0,0.5,0
Ground,1.0,1.0,0,2.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0,0.5,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,2.0,0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0
Rock,1.0,0.5,2.0,1.0,0.5,1.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,2.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,0.5,0.5,0.5,0.25,0.5,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.25,0.5,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5
Bug,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,0.25,0.25,0.25,1.0,0.5,0.5,0.5,0.25,1.0,0.5,0.25,0.5,0.25,0.25,1.0,0.5,0.5,0.5,0.25,1.0,0.5,0.25,0.5,0.25,1.0,0.5,0.5,0.5,0.25,1.0,0.5,0.25,0.5,1.0,0.5,0.5,0.5,0.25,1.0,0.5,0.25,0.5,2.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,0.25,0.5,2.0,1.0,2.0,0.5,1.0,0.5
Ghost,0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0,0.5,1.0,0.5,0.25,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0,1.0,2.0,1.0,0.5,1.0,2.0,2.0,2.0,0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,0,1.0,2.0,1.0,0.5,1.0,1.0,0,1.0,2.0,1.0,0.5,1.0,0,1.0,2.0,1.0,0.5,1.0,0,0,0,0,0,2.0,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0,0.5
Steel,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.25,0.25,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.25,0.25,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,0.5,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,0.5,0.5,2.0,0.5,0.5,1.0,1.0,0.25
Fire,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,0.5,0.5,2.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,0.5,0.5,0.25,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.25,1.0,0.25,1.0,0.5,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.25,1.0,0.25,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,0.5,0.5,2.0,0.5,1.0,0.25,1.0
