move,type,power,accuracy,crit
Absorb,Grass,20.0,1.0,False
Acid,Poison,40.0,1.0,False
Aerial Ace,Flying,60.0,1.0,False
Aeroblast,Flying,100.0,0.95,True
Air Cutter,Flying,55.0,0.95,True
AncientPower,Rock,60.0,1.0,False
Arm Thrust,Fighting,45.0,1.0,False
Astonish,Ghost,30.0,1.0,False
Aurora Beam,Ice,65.0,1.0,False
Barrage,Normal,45.0,0.85,False
Bind,Normal,15.0,0.75,False
Bite,Dark,60.0,1.0,False
Blaze Kick,Fire,85.0,0.9,True
Blizzard,Ice,120.0,0.7,False
Body Slam,Normal,85.0,1.0,False
Bone Club,Ground,65.0,0.85,False
Bone Rush,Ground,75.0,0.8,False
Bonemerang,Ground,100.0,0.9,False
Bounce,Flying,85.0,0.85,False
Brick Break,Fighting,75.0,1.0,False
Bubble,Water,20.0,1.0,False
BubbleBeam,Water,65.0,1.0,False
Bullet Seed,Grass,30.0,1.0,False
Clamp,Water,35.0,0.75,False
Comet Punch,Normal,54.0,0.85,False
Confusion,Psychic,50.0,1.0,False
Constrict,Normal,10.0,1.0,False
Covet,Normal,40.0,1.0,False
Crabhammer,Water,90.0,0.85,True
Cross Chop,Fighting,100.0,0.8,True
Crunch,Dark,80.0,1.0,False
Crush Claw,Normal,75.0,0.95,False
Cut,Normal,50.0,0.95,False
Dig,Ground,60.0,1.0,False
Dive,Water,60.0,1.0,False
Dizzy Punch,Normal,70.0,1.0,False
Doom Desire,Steel,120.0,0.85,False
Double Kick,Fighting,60.0,1.0,False
DoubleSlap,Normal,45.0,0.85,False
Dragon Claw,Dragon,80.0,1.0,False
DragonBreath,Dragon,60.0,1.0,False
Drill Peck,Flying,80.0,1.0,False
DynamicPunch,Fighting,100.0,0.5,False
Earthquake,Ground,100.0,1.0,False
Egg Bomb,Normal,100.0,0.75,False
Ember,Fire,40.0,1.0,False
Eruption,Fire,150.0,1.0,False
Extrasensory,Psychic,80.0,1.0,False
ExtremeSpeed,Normal,80.0,1.0,False
Facade,Normal,70.0,1.0,False
Faint Attack,Dark,60.0,1.0,False
Fake Out,Normal,40.0,1.0,False
False Swipe,Normal,40.0,1.0,False
Fire Blast,Fire,120.0,0.85,False
Fire Punch,Fire,75.0,1.0,False
Fire Spin,Fire,15.0,0.7,False
Flame Wheel,Fire,60.0,1.0,False
Flamethrower,Fire,95.0,1.0,False
Fly,Flying,70.0,0.95,False
Fury Attack,Normal,45.0,0.85,False
Fury Cutter,Bug,10.0,0.95,False
Fury Swipes,Normal,54.0,0.8,False
Future Sight,Psychic,80.0,0.9,False
Giga Drain,Grass,60.0,1.0,False
Gust,Flying,40.0,1.0,False
Headbutt,Normal,70.0,1.0,False
Heat Wave,Fire,100.0,0.9,False
Hi Jump Kick,Fighting,85.0,0.9,False
Hidden Power,Normal,60.0,1.0,False
Horn Attack,Normal,65.0,1.0,False
Hydro Pump,Water,120.0,0.8,False
Hyper Beam,Normal,75.0,0.9,False
Hyper Fang,Normal,80.0,0.9,False
Hyper Voice,Normal,90.0,1.0,False
Ice Ball,Ice,30.0,0.9,False
Ice Beam,Ice,95.0,1.0,False
