pokemon,lvl,move,type,power,accuracy,crit
Bulbasaur,1.0,Tackle,Normal,35,0.95,False
Bulbasaur,10.0,Vine Whip,Grass,35,1.0,False
Bulbasaur,20.0,Razor Leaf,Grass,55,0.95,True
Bulbasaur,,Cut,Normal,50,0.95,False
Bulbasaur,,Headbutt,Normal,70,1.0,False
Bulbasaur,,Hidden Power,Normal,60,1.0,False
Bulbasaur,,Snore,Normal,40,1.0,False
Bulbasaur,,Giga Drain,Grass,60,1.0,False
Bulbasaur,,Return,Normal,102,1.0,False
Bulbasaur,,Mud-Slap,Ground,20,1.0,False
Bulbasaur,,Fury Cutter,Bug,10,0.95,False
Ivysaur,1.0,Tackle,Normal,35,0.95,False
Ivysaur,10.0,Vine Whip,Grass,35,1.0,False
Ivysaur,22.0,Razor Leaf,Grass,55,0.95,True
Ivysaur,,Cut,Normal,50,0.95,False
Ivysaur,,Headbutt,Normal,70,1.0,False
Ivysaur,,Hidden Power,Normal,60,1.0,False
Ivysaur,,Snore,Normal,40,1.0,False
Ivysaur,,Giga Drain,Grass,60,1.0,False
Ivysaur,,Return,Normal,102,1.0,False
Ivysaur,,Mud-Slap,Ground,20,1.0,False
Ivysaur,,Fury Cutter,Bug,10,0.95,False
Venusaur,1.0,Tackle,Normal,35,0.95,False
Venusaur,1.0,Vine Whip,Grass,35,1.0,False
Venusaur,22.0,Razor Leaf,Grass,55,0.95,True
Venusaur,,Cut,Normal,50,0.95,False
Venusaur,,Headbutt,Normal,70,1.0,False
Venusaur,,Hidden Power,Normal,60,1.0,False
Venusaur,,Snore,Normal,40,1.0,False
Venusaur,,Hyper Beam,Normal,75,0.9,False
Venusaur,,Giga Drain,Grass,60,1.0,False
Venusaur,,Return,Normal,102,1.0,False
Venusaur,,Mud-Slap,Ground,20,1.0,False
Venusaur,,Fury Cutter,Bug,10,0.95,False
Charmander,1.0,Scratch,Normal,40,1.0,False
Charmander,7.0,Ember,Fire,40,1.0,False
Charmander,19.0,Rage,Normal,20,1.0,False
Charmander,31.0,Flamethrower,Fire,95,1.0,False
Charmander,37.0,Slash,Normal,70,1.0,True
Charmander,49.0,Fire Spin,Fire,15,0.7,False
Charmander,,Cut,Normal,50,0.95,False
Charmander,,Strength,Normal,80,1.0,False
Charmander,,DynamicPunch,Fighting,100,0.5,False
Charmander,,Headbutt,Normal,70,1.0,False
Charmander,,Rock Smash,Fighting,20,1.0,False
Charmander,,Hidden Power,Normal,60,1.0,False
Charmander,,Snore,Normal,40,1.0,False
Charmander,,Iron Tail,Steel,100,0.75,False
Charmander,,DragonBreath,Dragon,60,1.0,False
Charmander,,Return,Normal,102,1.0,False
Charmander,,Dig,Ground,60,1.0,False
Charmander,,Mud-Slap,Ground,20,1.0,False
Charmander,,Fire Blast,Fire,120,0.85,False
Charmander,,Swift,Normal,60,1.0,False
Charmander,,Fire Punch,Fire,75,1.0,False
Charmander,,Fury Cutter,Bug,10,0.95,False
Charmeleon,1.0,Ember,Fire,40,1.0,False
Charmeleon,1.0,Scratch,Normal,40,1.0,False
Charmeleon,20.0,Rage,Normal,20,1.0,False
Charmeleon,34.0,Flamethrower,Fire,95,1.0,False
Charmeleon,41.0,Slash,Normal,70,1.0,True
Charmeleon,55.0,Fire Spin,Fire,15,0.7,False
Charmeleon,,Cut,Normal,50,0.95,False
Charmeleon,,Strength,Normal,80,1.0,False
Charmeleon,,DynamicPunch,Fighting,100,0.5,False
Charmeleon,,Headbutt,Normal,70,1.0,False
Charmeleon,,Rock Smash,Fighting,20,1.0,False
Charmeleon,,Hidden Power,Normal,60,1.0,False
Charmeleon,,Snore,Normal,40,1.0,False
Charmeleon,,Iron Tail,Steel,100,0.75,False
Charmeleon,,DragonBreath,Dragon,60,1.0,False
Charmeleon,,Return,Normal,102,1.0,False
Charmeleon,,Dig,Ground,60,1.0,False
Charmeleon,,Mud-Slap,Ground,20,1.0,False
Charmeleon,,Fire Blast,Fire,120,0.85,False
Charmeleon,,Swift,Normal,60,1.0,False
Charmeleon,,Fire Punch,Fire,75,1.0,False
Charmeleon,,Fury Cutter,Bug,10,0.95,False
Charizard,1.0,Ember,Fire,40,1.0,False
Charizard,1.0,Scratch,Normal,40,1.0,False
Charizard,20.0,Rage,Normal,20,1.0,False
Charizard,34.0,Flamethrower,Fire,95,1.0,False
Charizard,36.0,Wing Attack,Flying,60,1.0,False
Charizard,44.0,Slash,Normal,70,1.0,True
Charizard,64.0,Fire Spin,Fire,15,0.7,False
Charizard,,Cut,Normal,50,0.95,False
Charizard,,Fly,Flying,70,0.95,False
Charizard,,Strength,Normal,80,1.0,False
Charizard,,DynamicPunch,Fighting,100,0.5,False
Charizard,,Headbutt,Normal,70,1.0,False
Charizard,,Rock Smash,Fighting,20,1.0,False
Charizard,,Hidden Power,Normal,60,1.0,False
Charizard,,Snore,Normal,40,1.0,False
Charizard,,Hyper Beam,Normal,75,0.9,False
Charizard,,Iron Tail,Steel,100,0.75,False
Charizard,,DragonBreath,Dragon,60,1.0,False
Charizard,,Earthquake,Ground,100,1.0,False
Charizard,,Return,Normal,102,1.0,False
Charizard,,Dig,Ground,60,1.0,False
Charizard,,Mud-Slap,Ground,20,1.0,False
Charizard,,Fire Blast,Fire,120,0.85,False
Charizard,,Swift,Normal,60,1.0,False
Charizard,,Steel Wing,Steel,70,0.9,False
Charizard,,Fire Punch,Fire,75,1.0,False
Charizard,,Fury Cutter,Bug,10,0.95,False
Squirtle,1.0,Tackle,Normal,35,0.95,False
Squirtle,7.0,Bubble,Water,20,1.0,False
Squirtle,13.0,Water Gun,Water,40,1.0,False
Squirtle,18.0,Bite,Dark,60,1.0,False
Squirtle,23.0,Rapid Spin,Normal,20,1.0,False
Squirtle,47.0,Hydro Pump,Water,120,0.8,False
Squirtle,,Surf,Water,95,1.0,False
Squirtle,,Strength,Normal,80,1.0,False
Squirtle,,Whirlpool,Water,15,0.7,False
