enc_id,evo_id_enc,evo_index_enc,trainer_name_enc,location_enc,pokemon_enc,level_enc,stage_enc,hp_enc,attack_enc,defense_enc,sp_attack_enc,sp_defense_enc,speed_enc,types_enc,move_name_1_enc,move_name_2_enc,move_name_3_enc,move_name_4_enc,move_type_1_enc,move_type_2_enc,move_type_3_enc,move_type_4_enc,move_category_1_enc,move_category_2_enc,move_category_3_enc,move_category_4_enc,move_power_1_enc,move_power_2_enc,move_power_3_enc,move_power_4_enc,move_accuracy_1_enc,move_accuracy_2_enc,move_accuracy_3_enc,move_accuracy_4_enc,move_crit_1_enc,move_crit_2_enc,move_crit_3_enc,move_crit_4_enc,exp_enc
1,3,1,green1,pallet_town,squirtle,5,1,20,10,12,10,10,10,water,tackle,tail_whip,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,135
2,1,1,green1,pallet_town,bulbasaur,5,1,20,10,10,12,12,10,grass/poison,tackle,growl,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,135
3,2,1,green1,pallet_town,charmander,5,1,19,11,10,11,11,12,fire,scratch,growl,,,normal,normal,,,physical,physical,,,40.0,0.0,,,1.0,1.0,,,False,False,False,False,135
4,5,1,bugcatcher,viridian_forest,weedle,6,5,21,10,9,8,8,11,bug/poison,poison_sting,string_shot,,,poison,bug,,,physical,physical,,,15.0,0.0,,,1.0,0.95,,,False,False,False,False,216
5,4,1,bugcatcher,viridian_forest,caterpie,6,5,22,9,10,8,8,11,bug,tackle,string_shot,,,normal,bug,,,physical,physical,,,35.0,0.0,,,0.95,0.95,,,False,False,False,False,216
6,5,1,bugcatcher,viridian_forest,weedle,7,5,23,11,10,8,8,13,bug/poison,poison_sting,string_shot,,,poison,bug,,,physical,physical,,,15.0,0.0,,,1.0,0.95,,,False,False,False,False,343
7,5,2,bugcatcher,viridian_forest,kakuna,7,5,24,9,13,9,9,11,bug/poison,harden,,,,normal,,,,physical,,,,0.0,,,,1.0,,,,False,False,False,False,343
9,5,1,bugcatcher,viridian_forest,weedle,9,5,27,12,11,10,10,15,bug/poison,poison_sting,string_shot,,,poison,bug,,,physical,physical,,,15.0,0.0,,,1.0,0.95,,,False,False,False,False,729
10,3,1,green1,pewter_city,squirtle,8,6,26,14,16,14,14,13,water,tackle,tail_whip,bubble,,normal,normal,water,,physical,physical,special,,35.0,0.0,20.0,,0.95,1.0,1.0,,False,False,False,False,729
11,1,1,green1,pewter_city,bulbasaur,8,6,26,14,14,16,16,13,grass/poison,tackle,growl,leech_seed,,normal,normal,grass,,physical,physical,special,,35.0,0.0,0.0,,0.95,1.0,0.9,,False,False,False,False,729
12,2,1,green1,pewter_city,charmander,8,6,25,14,13,15,15,16,fire,scratch,growl,,,normal,normal,,,physical,physical,,,40.0,0.0,,,1.0,1.0,,,False,False,False,False,729
13,6,1,green1,pewter_city,pidgey,9,6,27,14,13,12,12,16,flying/normal,gust,sandattack,,,normal,normal,,,physical,physical,,,40.0,0.0,,,1.0,1.0,,,False,False,False,False,729
14,31,1,brock,pewter_gym,geodude,12,6,33,26,30,14,14,11,ground/rock,tackle,defense_curl,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,973
15,21,1,jrtrainerm,pewter_gym,diglett,11,6,24,19,12,14,14,27,ground,scratch,,,,normal,,,,physical,,,,40.0,,,,1.0,,,,False,False,False,False,1331
16,11,1,jrtrainerm,pewter_gym,sandshrew,11,6,33,23,25,11,11,15,ground,scratch,sandattack,,,normal,normal,,,physical,physical,,,40.0,0.0,,,1.0,1.0,,,False,False,False,False,1331
17,41,1,brock,pewter_gym,onix,14,6,36,20,52,15,15,26,ground/rock,tackle,screech,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,0.85,,,False,False,False,False,2744
18,6,1,lass,route_3,pidgey,9,7,27,14,13,12,12,16,flying/normal,gust,sandattack,,,normal,normal,,,physical,physical,,,40.0,0.0,,,1.0,1.0,,,False,False,False,False,2744
20,13,1,lass,route_3,nidoran_m,10,7,30,18,14,14,14,16,poison,leer,tackle,horn_attack,,normal,normal,normal,,physical,physical,physical,,0.0,35.0,65.0,,1.0,0.95,1.0,,False,False,False,False,2744
21,5,1,bugcatcher,route_3,weedle,9,7,27,12,11,10,10,15,bug/poison,poison_sting,string_shot,,,poison,bug,,,physical,physical,,,15.0,0.0,,,1.0,0.95,,,False,False,False,False,2744
22,5,2,bugcatcher,route_3,kakuna,9,7,28,11,15,10,10,12,bug/poison,harden,,,,normal,,,,physical,,,,0.0,,,,1.0,,,,False,False,False,False,2744
23,4,1,bugcatcher,route_3,caterpie,9,7,28,12,12,10,10,14,bug,tackle,string_shot,,,normal,bug,,,physical,physical,,,35.0,0.0,,,0.95,0.95,,,False,False,False,False,2744
24,4,2,bugcatcher,route_3,metapod,9,7,29,10,16,10,10,11,bug,harden,,,,normal,,,,physical,,,,0.0,,,,1.0,,,,False,False,False,False,2744
25,4,1,bugcatcher,route_3,caterpie,10,7,30,12,13,10,10,15,bug,tackle,string_shot,,,normal,bug,,,physical,physical,,,35.0,0.0,,,0.95,0.95,,,False,False,False,False,2744
26,5,1,bugcatcher,route_3,weedle,10,7,29,13,12,10,10,16,bug/poison,poison_sting,string_shot,,,poison,bug,,,physical,physical,,,15.0,0.0,,,1.0,0.95,,,False,False,False,False,2744
28,7,1,lass,route_3,rattata,10,7,27,18,13,11,11,21,normal,tackle,tail_whip,quick_attack,,normal,normal,normal,,physical,physical,physical,,35.0,0.0,40.0,,0.95,1.0,1.0,,False,False,False,False,2744
29,7,1,youngster,route_3,rattata,11,7,29,19,14,12,12,22,normal,tackle,tail_whip,quick_attack,,normal,normal,normal,,physical,physical,physical,,35.0,0.0,40.0,,0.95,1.0,1.0,,False,False,False,False,2744
30,9,1,youngster,route_3,ekans,11,7,30,20,16,15,15,18,poison,wrap,leer,poison_sting,,normal,normal,poison,,physical,physical,physical,,15.0,0.0,15.0,,0.85,1.0,1.0,,False,False,False,False,2744
31,4,1,bugcatcher,route_3,caterpie,11,7,32,13,14,11,11,16,bug,tackle,string_shot,,,normal,bug,,,physical,physical,,,35.0,0.0,,,0.95,0.95,,,False,False,False,False,2744
32,4,2,bugcatcher,route_3,metapod,11,7,33,11,18,12,12,13,bug,harden,,,,normal,,,,physical,,,,0.0,,,,1.0,,,,False,False,False,False,2744
33,16,1,lass,route_3,jigglypuff,14,7,58,20,12,19,19,12,normal,sing,pound,disable,,normal,normal,normal,,physical,physical,physical,,0.0,40.0,0.0,,0.55,1.0,0.55,,False,False,False,False,2744
34,8,1,youngster,route_3,spearow,14,7,37,24,15,15,15,26,flying/normal,peck,growl,leer,,flying,normal,normal,,physical,physical,physical,,35.0,0.0,0.0,,1.0,1.0,1.0,,False,False,False,False,2744
35,31,1,hiker,mt_moon_1f,geodude,10,8,29,22,26,12,12,10,ground/rock,tackle,,,,normal,,,,physical,,,,35.0,,,,0.95,,,,False,False,False,False,2744
