enc_id,evo_id_enc,evo_index_enc,trainer_name_enc,location_enc,pokemon_enc,level_enc,stage_enc,hp_enc,attack_enc,defense_enc,sp_attack_enc,sp_defense_enc,speed_enc,types_enc,move_name_1_enc,move_name_2_enc,move_name_3_enc,move_name_4_enc,move_type_1_enc,move_type_2_enc,move_type_3_enc,move_type_4_enc,move_category_1_enc,move_category_2_enc,move_category_3_enc,move_category_4_enc,move_power_1_enc,move_power_2_enc,move_power_3_enc,move_power_4_enc,move_accuracy_1_enc,move_accuracy_2_enc,move_accuracy_3_enc,move_accuracy_4_enc,move_crit_1_enc,move_crit_2_enc,move_crit_3_enc,move_crit_4_enc,exp_enc
1,84,1,rival_silver,new_bark_town,totodile,5,1,21.0,12.0,12.0,10.0,11.0,10.0,water,scratch,leer,,,normal,normal,,,physical,physical,,,40.0,0.0,,,1.0,1.0,,,False,False,False,False,135
2,82,1,rival_silver,new_bark_town,chikorita,5,1,21.0,11.0,12.0,11.0,12.0,10.0,grass,tackle,growl,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,135
3,83,1,rival_silver,new_bark_town,cyndaquil,5,1,20.0,11.0,10.0,12.0,11.0,12.0,fire,tackle,leer,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,135
4,6,1,youngster_mikey,route_30,pidgey,2,4,13.0,7.0,6.0,6.0,6.0,7.0,flying/normal,tackle,,,,normal,,,,physical,,,,35.0,,,,0.95,,,,False,False,False,False,135
5,4,1,bug_catcher_don,route_30,caterpie,3,4,16.0,7.0,7.0,6.0,6.0,8.0,bug,tackle,string_shot,,,normal,bug,,,physical,physical,,,35.0,0.0,,,0.95,0.95,,,False,False,False,False,135
7,7,1,youngster_joey,route_30,rattata,4,4,17.0,10.0,8.0,7.0,8.0,11.0,normal,tackle,tail_whip,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,135
9,4,1,bug_catcher_wade,route_31,caterpie,2,5,14.0,6.0,6.0,6.0,6.0,7.0,bug,tackle,string_shot,,,normal,bug,,,physical,physical,,,35.0,0.0,,,0.95,0.95,,,False,False,False,False,135
12,5,1,bug_catcher_wade,route_31,weedle,3,5,15.0,7.0,7.0,6.0,6.0,8.0,bug/poison,poison_sting,string_shot,,,poison,bug,,,physical,physical,,,15.0,0.0,,,1.0,0.95,,,False,False,False,False,135
13,29,1,sage_nico,sprout_tower_2f,bellsprout,3,6,16.0,10.0,7.0,9.0,7.0,7.0,grass/poison,vine_whip,,,,grass,,,,special,,,,35.0,,,,1.0,,,,False,False,False,False,135
22,29,1,sage_neal,sprout_tower_3f,bellsprout,6,6,22.0,15.0,10.0,14.0,9.0,10.0,grass/poison,vine_whip,growth,,,grass,normal,,,special,physical,,,35.0,0.0,,,1.0,1.0,,,False,False,False,False,179
23,29,1,sage_troy,sprout_tower_3f,bellsprout,7,6,25.0,16.0,11.0,15.0,10.0,11.0,grass/poison,vine_whip,growth,,,grass,normal,,,special,physical,,,35.0,0.0,,,1.0,1.0,,,False,False,False,False,236
26,6,1,bird_keeper_rod,violet_city_gym,pidgey,7,6,23.0,12.0,11.0,11.0,11.0,13.0,flying/normal,tackle,sand_attack,,,normal,,,,physical,,,,35.0,,,,0.95,,,,False,False,False,False,236
28,6,1,gym_leader_falkner,violet_city_gym,pidgey,7,6,24.0,12.0,12.0,10.0,10.0,13.0,flying/normal,tackle,mudslap,,,normal,ground,,,physical,physical,,,35.0,20.0,,,0.95,1.0,,,False,False,False,False,236
29,86,1,sage_troy,sprout_tower_3f,hoothoot,7,6,26.0,10.0,10.0,11.0,13.0,13.0,flying/normal,tackle,growl,foresight,,normal,normal,normal,,physical,physical,physical,,35.0,0.0,0.0,,0.95,1.0,1.0,,False,False,False,False,343
30,6,2,gym_leader_falkner,violet_city_gym,pidgeotto,9,6,32.0,17.0,16.0,15.0,15.0,19.0,flying/normal,tackle,mudslap,gust,,normal,ground,flying,,physical,physical,physical,,35.0,20.0,40.0,,0.95,1.0,1.0,,False,False,False,False,419
31,8,1,bird_keeper_abe,violet_city_gym,spearow,9,6,27.0,17.0,11.0,12.0,12.0,19.0,flying/normal,peck,growl,leer,,flying,normal,normal,,physical,physical,physical,,35.0,0.0,0.0,,1.0,1.0,1.0,,False,False,False,False,729
32,86,1,sage_li,sprout_tower_3f,hoothoot,10,6,33.0,12.0,12.0,13.0,17.0,16.0,flying/normal,tackle,growl,foresight,,normal,normal,normal,,physical,physical,physical,,35.0,0.0,0.0,,0.95,1.0,1.0,,False,False,False,False,1000
33,65,1,fisher_justin,route_32,magikarp,5,7,17.0,6.0,11.0,7.0,7.0,13.0,water,splash,,,,normal,,,,physical,,,,0.0,,,,1.0,,,,False,False,False,False,1000
36,6,1,bird_keeper_peter,route_32,pidgey,6,7,21.0,11.0,10.0,10.0,10.0,12.0,flying/normal,tackle,sand_attack,,,normal,,,,physical,,,,35.0,,,,0.95,,,,False,False,False,False,1000
38,7,1,youngster_albert,route_32,rattata,6,7,20.0,12.0,10.0,8.0,10.0,14.0,normal,tackle,tail_whip,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,1000
39,96,1,fisher_henry,route_32,poliwag,8,7,25.0,14.0,12.0,12.0,12.0,20.0,water,bubble,hypnosis,,,water,psychic,,,special,special,,,20.0,0.0,,,1.0,0.6,,,False,False,False,False,1000
43,12,1,picnicker_liz,route_32,nidoran_f,9,7,30.0,15.0,15.0,13.0,13.0,13.0,poison,growl,tackle,scratch,,normal,normal,normal,,physical,physical,physical,,0.0,35.0,40.0,,1.0,0.95,1.0,,False,False,False,False,1000
44,13,1,camper_roland,route_32,nidoran_m,9,7,28.0,16.0,13.0,13.0,13.0,15.0,poison,leer,tackle,horn_attack,,normal,normal,normal,,physical,physical,physical,,0.0,35.0,65.0,,1.0,0.95,1.0,,False,False,False,False,1000
45,17,1,youngster_albert,route_32,zubat,8,7,25.0,13.0,11.0,11.0,12.0,15.0,flying/poison,leech_life,supersonic,,,bug,normal,,,physical,physical,,,20.0,0.0,,,1.0,0.55,,,False,False,False,False,1000
46,8,1,bird_keeper_peter,route_32,spearow,8,7,25.0,16.0,11.0,11.0,11.0,17.0,flying/normal,peck,growl,leer,,flying,normal,normal,,physical,physical,physical,,35.0,0.0,0.0,,1.0,1.0,1.0,,False,False,False,False,1000
47,101,1,youngster_gordon,route_32,wooper,10,7,32.0,15.0,15.0,11.0,11.0,9.0,ground/water,water_gun,tail_whip,,,water,normal,,,special,physical,,,40.0,0.0,,,1.0,1.0,,,False,False,False,False,1000
48,56,1,fisher_ralph,route_32,goldeen,10,7,30.0,20.0,18.0,13.0,16.0,19.0,water,peck,tail_whip,supersonic,,flying,normal,normal,,physical,physical,physical,,35.0,0.0,0.0,,1.0,1.0,0.55,,False,False,False,False,1000
49,65,1,fisher_justin,route_32,magikarp,15,7,33.0,10.0,23.0,11.0,13.0,31.0,water,splash,tackle,,,normal,normal,,,physical,physical,,,0.0,35.0,,,1.0,0.95,,,False,False,False,False,4218
50,31,1,hiker_russel,union_cave_1f,geodude,4,8,17.0,12.0,13.0,8.0,8.0,7.0,ground/rock,tackle,,,,normal,,,,physical,,,,35.0,,,,0.95,,,,False,False,False,False,4218
51,31,1,hiker_russel,union_cave_1f,geodude,6,8,21.0,15.0,17.0,9.0,9.0,8.0,ground/rock,tackle,defense_curl,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,4218
52,50,1,firebreather_bill,union_cave_1f,koffing,6,8,21.0,13.0,17.0,13.0,11.0,10.0,poison,poison_gas,tackle,,,poison,normal,,,physical,physical,,,0.0,35.0,,,0.55,0.95,,,False,False,False,False,4218
54,31,1,hiker_russel,union_cave_1f,geodude,8,8,25.0,19.0,22.0,11.0,11.0,9.0,ground/rock,tackle,defense_curl,,,normal,normal,,,physical,physical,,,35.0,0.0,,,0.95,1.0,,,False,False,False,False,4218
55,15,1,firebreather_ray,union_cave_1f,vulpix,9,8,27.0,14.0,13.0,15.0,18.0,18.0,fire,ember,tail_whip,quick_attack,,fire,normal,normal,,special,physical,physical,,40.0,0.0,40.0,,1.0,1.0,1.0,,False,False,False,False,4218
56,105,1,pokemaniac_larry,union_cave_1f,slowpoke,10,8,39.0,19.0,19.0,14.0,14.0,9.0,psychic/water,curse,tackle,growl,,,normal,normal,,error,physical,physical,,0.0,35.0,0.0,,1.0,0.95,1.0,,False,False,False,False,4218
58,41,1,hiker_daniel,union_cave_1f,onix,11,8,30.0,16.0,41.0,13.0,16.0,22.0,ground/rock,tackle,screech,bind,,normal,normal,normal,,physical,physical,physical,,35.0,0.0,15.0,,0.95,0.85,0.75,,False,False,False,False,4218
59,31,1,hiker_anthony,route_33,geodude,11,9,31.0,24.0,28.0,13.0,13.0,11.0,ground/rock,tackle,defense_curl,rock_throw,,normal,normal,rock,,physical,physical,physical,,35.0,0.0,50.0,,0.95,1.0,0.9,,False,False,False,False,4218
60,28,1,hiker_anthony,route_33,machop,11,9,38.0,24.0,17.0,14.0,14.0,14.0,fighting,low_kick,leer,focus_energy,,fighting,normal,normal,,physical,physical,physical,,50.0,0.0,0.0,,0.9,1.0,1.0,,False,False,False,False,4218
