evo_id_pp,evo_index_pp,pokemon_pp,hp_pp_base,attack_pp_base,defense_pp_base,sp_attack_pp_base,sp_defense_pp_base,speed_pp_base,type_1_pp,type_2_pp,evo_lvl_pp,evo_item_stage_pp,stage_available_pp,legendary_pp,generation
10,1,pichu,20,40,15,35,35,60,electric,,0,0.0,65.0,False,3
10,2,pikachu,35,55,30,50,40,90,electric,,0,0.0,65.0,False,3
10,3,raichu,60,90,55,90,80,100,electric,,0,46.0,65.0,False,3
11,1,sandshrew,50,75,85,20,30,40,ground,,0,0.0,44.0,False,3
11,2,sandslash,75,100,110,45,55,65,ground,,22,0.0,44.0,False,3
12,3,nidoqueen,90,82,87,75,85,76,ground,poison,16,35.0,999.0,False,3
13,3,nidoking,81,92,77,85,75,85,ground,poison,16,35.0,999.0,False,3
14,3,clefable,95,70,73,85,90,60,normal,,0,35.0,999.0,False,3
15,1,vulpix,38,41,40,50,65,65,fire,,0,0.0,67.0,False,3
15,2,ninetales,73,76,75,81,100,100,fire,,0,44.0,67.0,False,3
16,1,igglybuff,90,30,15,40,20,15,normal,,0,0.0,46.0,False,3
16,2,jigglypuff,115,45,20,45,25,20,normal,,0,0.0,46.0,False,3
16,3,wigglytuff,140,70,45,75,50,45,normal,,0,35.0,46.0,False,3
17,1,zubat,40,45,35,30,40,55,flying,poison,0,0.0,15.0,False,3
17,2,crobat,85,90,80,70,80,130,flying,poison,22,0.0,15.0,False,3
17,3,golbat,75,80,70,65,75,90,flying,poison,22,0.0,15.0,False,3
18,1,oddish,45,50,55,75,65,30,grass,poison,0,0.0,19.0,False,3
18,2,gloom,60,65,70,85,75,40,grass,poison,21,0.0,19.0,False,3
18,3,vileplume,75,80,85,100,90,50,grass,poison,21,57.0,19.0,False,3
22,1,meowth,40,45,35,40,40,90,normal,,0,0.0,93.0,False,3
22,2,persian,65,70,60,65,65,115,normal,,28,0.0,93.0,False,3
23,1,psyduck,50,52,48,65,50,55,water,,0,0.0,65.0,False,3
23,2,golduck,80,82,78,95,80,85,water,,33,0.0,65.0,False,3
25,2,arcanine,90,110,80,100,80,95,fire,,0,44.0,999.0,False,3
26,3,poliwrath,90,85,95,70,90,70,fighting,water,25,73.0,999.0,False,3
27,1,abra,25,20,15,105,55,90,psychic,,0,0.0,10.0,False,3
27,2,kadabra,40,35,30,120,70,105,psychic,,16,0.0,10.0,False,3
27,3,alakazam,55,50,45,135,85,120,psychic,,16,0.0,10.0,False,3
28,1,machop,70,80,50,35,35,35,fighting,,0,0.0,29.0,False,3
28,2,machoke,80,100,70,50,60,45,fighting,,28,0.0,29.0,False,3
28,3,machamp,90,130,80,65,85,55,fighting,,28,0.0,29.0,False,3
29,3,victreebel,80,105,65,100,60,70,grass,poison,21,57.0,999.0,False,3
30,1,tentacool,40,40,35,50,100,70,poison,water,0,0.0,14.0,False,3
30,2,tentacruel,80,70,65,80,120,100,poison,water,30,0.0,14.0,False,3
31,1,geodude,40,80,100,30,30,20,ground,rock,0,0.0,15.0,False,3
31,2,graveler,55,95,115,45,45,35,ground,rock,25,0.0,15.0,False,3
31,3,golem,80,110,130,55,65,45,ground,rock,25,0.0,15.0,False,3
34,1,magnemite,25,35,70,95,55,45,electric,,0,0.0,46.0,False,3
34,2,magneton,50,60,95,120,70,70,electric,,30,0.0,46.0,False,3
36,1,doduo,35,85,45,35,35,75,flying,normal,0,0.0,65.0,False,3
